baseline,detection_bce_loss,epoch,lr,stage,step,train_loss,val_loss
ordinary_bce,1.0262973308563232,,0.0008,tiny_batch,1,1.0262973308563232,
ordinary_bce,0.873249351978302,,0.0008,tiny_batch,5,0.873249351978302,
ordinary_bce,1.0235106945037842,,0.0008,tiny_batch,10,1.0235106945037842,
ordinary_bce,0.7903659343719482,,0.0008,tiny_batch,15,0.7903659343719482,
ordinary_bce,0.7416902780532837,,0.0008,tiny_batch,20,0.7416902780532837,
ordinary_bce,0.649013876914978,,0.0008,tiny_batch,25,0.649013876914978,
ordinary_bce,0.8042356371879578,,0.0008,tiny_batch,30,0.8042356371879578,
ordinary_bce,0.7564653158187866,,0.0008,tiny_batch,35,0.7564653158187866,
ordinary_bce,0.8176323771476746,,0.0008,tiny_batch,40,0.8176323771476746,
ordinary_bce,0.75555819272995,,0.0008,tiny_batch,45,0.75555819272995,
ordinary_bce,0.6898849606513977,,0.0008,tiny_batch,50,0.6898849606513977,
ordinary_bce,0.8796286582946777,,0.0008,tiny_batch,55,0.8796286582946777,
ordinary_bce,0.8918584585189819,,0.0008,tiny_batch,60,0.8918584585189819,
ordinary_bce,0.7923985719680786,,0.0008,tiny_batch,65,0.7923985719680786,
ordinary_bce,0.7463703751564026,,0.0008,tiny_batch,70,0.7463703751564026,
ordinary_bce,0.8152856826782227,,0.0008,tiny_batch,75,0.8152856826782227,
ordinary_bce,0.8258287310600281,,0.0008,tiny_batch,80,0.8258287310600281,
ordinary_bce,0.8018107414245605,,0.0008,tiny_batch,85,0.8018107414245605,
ordinary_bce,0.6173970103263855,,0.0008,tiny_batch,90,0.6173970103263855,
ordinary_bce,0.8287873268127441,,0.0008,tiny_batch,95,0.8287873268127441,
ordinary_bce,0.7166005969047546,,0.0008,tiny_batch,100,0.7166005969047546,
ordinary_bce,0.7817121744155884,,0.0008,tiny_batch,105,0.7817121744155884,
ordinary_bce,0.7404781579971313,,0.0008,tiny_batch,110,0.7404781579971313,
ordinary_bce,0.7491400241851807,,0.0008,tiny_batch,115,0.7491400241851807,
ordinary_bce,0.58885258436203,,0.0008,tiny_batch,120,0.58885258436203,
ordinary_bce,0.7065579891204834,,0.0008,tiny_batch,125,0.7065579891204834,
ordinary_bce,0.6110714673995972,,0.0008,tiny_batch,130,0.6110714673995972,
ordinary_bce,0.7831311821937561,,0.0008,tiny_batch,135,0.7831311821937561,
ordinary_bce,0.6890712380409241,,0.0008,tiny_batch,140,0.6890712380409241,
ordinary_bce,0.6450590491294861,,0.0008,tiny_batch,145,0.6450590491294861,
ordinary_bce,0.625957190990448,,0.0008,tiny_batch,150,0.625957190990448,
ordinary_bce,0.6699763536453247,,0.0008,tiny_batch,155,0.6699763536453247,
ordinary_bce,0.811955451965332,,0.0008,tiny_batch,160,0.811955451965332,
ordinary_bce,0.7228938341140747,,0.0008,tiny_batch,165,0.7228938341140747,
ordinary_bce,0.676747739315033,,0.0008,tiny_batch,170,0.676747739315033,
ordinary_bce,0.7251480221748352,,0.0008,tiny_batch,175,0.7251480221748352,
ordinary_bce,0.7895947694778442,,0.0008,tiny_batch,180,0.7895947694778442,
ordinary_bce,0.7855243682861328,,0.0008,tiny_batch,185,0.7855243682861328,
ordinary_bce,0.7844282984733582,,0.0008,tiny_batch,190,0.7844282984733582,
ordinary_bce,0.7658814191818237,,0.0008,tiny_batch,195,0.7658814191818237,
ordinary_bce,0.49071475863456726,,0.0008,tiny_batch,200,0.49071475863456726,
ordinary_bce,0.6453976035118103,,0.0008,tiny_batch,205,0.6453976035118103,
ordinary_bce,0.7129378318786621,,0.0008,tiny_batch,210,0.7129378318786621,
ordinary_bce,0.5856195688247681,,0.0008,tiny_batch,215,0.5856195688247681,
ordinary_bce,0.5470307469367981,,0.0008,tiny_batch,220,0.5470307469367981,
ordinary_bce,1.6370582024256388,1,0.0008,small_subset,,1.6370582024256388,0.8600409626960754
ordinary_bce,1.5102517513434093,2,0.0008,small_subset,,1.5102517513434093,0.844565212726593
ordinary_bce,1.4863872981071473,3,0.0008,small_subset,,1.4863872981071473,0.8342326283454895
ordinary_bce,1.4695430032412211,4,0.0008,small_subset,,1.4695430032412211,0.827558696269989
ordinary_bce,1.4539559372266133,5,0.0008,small_subset,,1.4539559372266133,0.8240587115287781
ordinary_bce,1.439950816233953,6,0.0008,small_subset,,1.439950816233953,0.8133414387702942
ordinary_bce,1.4265443138281504,7,0.0008,small_subset,,1.4265443138281504,0.8068852424621582
ordinary_bce,1.4138377885023752,8,0.0008,small_subset,,1.4138377885023752,0.8072189688682556
ordinary_bce,1.4022748978932698,9,0.0008,small_subset,,1.4022748978932698,0.8005779385566711
ordinary_bce,1.3945828652381898,10,0.0008,small_subset,,1.3945828652381898,0.7992367148399353
