baseline,bce_term,epoch,grad_norm_before_clip,lambda_rec,lr,magmse_term,stage,step,temperature,train_loss,val_bce_term,val_loss,val_magmse_term
bce_rec_l0p5,1.3411279916763306,2,2.0170433217287065,0.5,0.0003,0.4774539226293564,small_subset,,1.0,1.5798549552758534,0.6683959364891052,0.8167423009872437,0.29669275879859924
bce_rec_l0p5,1.3390869877735774,3,1.7926716723044713,0.5,0.0003,0.31341070820887884,small_subset,,1.0,1.4957923424243926,0.6685446500778198,0.7762885689735413,0.21548788249492645
bce_rec_l0p5,1.338578630288442,4,1.5395019745826721,0.5,0.0003,0.2605389313399792,small_subset,,1.0,1.4688480957349141,0.6683091521263123,0.758561372756958,0.1805044412612915
bce_rec_l0p5,1.3388325933615366,5,1.4092753918965657,0.5,0.0003,0.23309442664186159,small_subset,,1.0,1.455379803578059,0.6679108142852783,0.753335177898407,0.17084868252277374
bce_rec_l0p5,1.3375217493375142,6,1.3803964213530222,0.5,0.0003,0.21382368271549543,small_subset,,1.0,1.4444335909684498,0.6678828001022339,0.7468361854553223,0.15790677070617676
bce_rec_l0p5,1.3377381843328475,7,1.3105538980166118,0.5,0.0003,0.1891490155706803,small_subset,,1.0,1.4323126912117004,0.6681223511695862,0.7360019683837891,0.13575926423072815
bce_rec_l0p5,1.3383650875091553,8,1.215661607980728,0.5,0.0003,0.16702913567423822,small_subset,,1.0,1.4218796531359355,0.6680577993392944,0.7296104431152344,0.12310530990362167
bce_rec_l1p0,0.7250920534133911,,5.722754001617432,1.0,0.0003,8.397361755371094,tiny_batch,1,1.0,9.122453689575195,,,
bce_rec_l1p0,1.0046199560165405,,5.95920991897583,1.0,0.0003,5.239727020263672,tiny_batch,10,1.0,6.244347095489502,,,
bce_rec_l1p0,0.5990568399429321,,4.15296745300293,1.0,0.0003,1.163545846939087,tiny_batch,20,1.0,1.762602686882019,,,
bce_rec_l1p0,0.6532350182533264,,6.012210369110107,1.0,0.0003,0.7753116488456726,tiny_batch,30,1.0,1.428546667098999,,,
bce_rec_l1p0,0.6562877297401428,,8.522072792053223,1.0,0.0003,1.0578186511993408,tiny_batch,40,1.0,1.7141063213348389,,,
bce_rec_l1p0,0.6462451219558716,,16.30573272705078,1.0,0.0003,2.189882516860962,tiny_batch,50,1.0,2.836127758026123,,,
bce_rec_l1p0,0.5217358469963074,,5.2563958168029785,1.0,0.0003,1.0368105173110962,tiny_batch,60,1.0,1.5585463047027588,,,
bce_rec_l1p0,0.797298789024353,,3.2967331409454346,1.0,0.0003,0.7851281762123108,tiny_batch,70,1.0,1.5824270248413086,,,
bce_rec_l1p0,0.7062183022499084,,4.780751705169678,1.0,0.0003,1.552783727645874,tiny_batch,80,1.0,2.2590019702911377,,,
bce_rec_l1p0,0.7326769828796387,,2.8903472423553467,1.0,0.0003,0.660619854927063,tiny_batch,90,1.0,1.3932968378067017,,,
bce_rec_l1p0,0.6487984657287598,,9.535650253295898,1.0,0.0003,1.6370508670806885,tiny_batch,100,1.0,2.2858493328094482,,,
bce_rec_l1p0,0.6929891705513,,3.5519120693206787,1.0,0.0003,0.49146175384521484,tiny_batch,110,1.0,1.1844508647918701,,,
bce_rec_l1p0,0.6607818603515625,,4.330786228179932,1.0,0.0003,1.1636061668395996,tiny_batch,120,1.0,1.824388027191162,,,
bce_rec_l1p0,1.3475271356105805,1,4.699245498975118,1.0,0.0003,0.6634198220074177,small_subset,,1.0,2.0109469564755758,0.6705763339996338,1.1285160779953003,0.4579397141933441
bce_rec_l1p0,1.3455454723040263,2,4.122475453217825,1.0,0.0003,0.5037260613342126,small_subset,,1.0,1.8492715243498485,0.6707044839859009,1.0213319063186646,0.35062745213508606
bce_rec_l1p0,1.3452690462271373,3,3.6391272226969402,1.0,0.0003,0.3496373369793097,small_subset,,1.0,1.6949063829580944,0.6696377396583557,0.8851691484451294,0.2155313938856125
bce_rec_l1p0,1.3438647878170014,4,2.9432185912132263,1.0,0.0003,0.25023637446264424,small_subset,,1.0,1.594101161956787,0.6699970960617065,0.8722251653671265,0.2022280991077423
bce_rec_l1p0,1.3434000700712203,5,2.9038440668582917,1.0,0.0003,0.2314783669511477,small_subset,,1.0,1.5748784379164378,0.6693627834320068,0.8414117693901062,0.17204897105693817
bce_rec_l1p0,1.3430458796024323,6,2.6663669232527414,1.0,0.0003,0.20776856385171413,small_subset,,1.0,1.5508144430319468,0.6689484119415283,0.8246117234230042,0.15566329658031464
bce_rec_l1p0,1.3425700453917186,7,2.503971019188563,1.0,0.0003,0.18384100841979187,small_subset,,1.0,1.5264110537370046,0.6696200966835022,0.8118695616722107,0.1422494500875473
bce_rec_l1p0,1.3431269574165343,8,2.3507486085096994,1.0,0.0003,0.16333081344763437,small_subset,,1.0,1.5064577730496724,0.6702078580856323,0.8176668286323547,0.1474589854478836
