baseline,bce_term,epoch,grad_norm_before_clip,lambda_rec,lr,magmse_term,stage,step,temperature,train_loss,val_bce_term,val_loss,val_magmse_term
pure_bce,0.5698273777961731,,0.06052304431796074,0.0,0.0003,11.303584098815918,tiny_batch,1,1.0,0.5698273777961731,,,
pure_bce,0.6683021187782288,,0.15941549837589264,0.0,0.0003,9.488224983215332,tiny_batch,10,1.0,0.6683021187782288,,,
pure_bce,0.568403959274292,,0.23987415432929993,0.0,0.0003,13.337081909179688,tiny_batch,20,1.0,0.568403959274292,,,
pure_bce,0.6780310869216919,,0.11734048277139664,0.0,0.0003,8.820000648498535,tiny_batch,30,1.0,0.6780310869216919,,,
pure_bce,0.48587968945503235,,0.33607640862464905,0.0,0.0003,33.67376708984375,tiny_batch,40,1.0,0.48587968945503235,,,
pure_bce,0.7449774146080017,,0.4198405146598816,0.0,0.0003,48.9144287109375,tiny_batch,50,1.0,0.7449774146080017,,,
pure_bce,0.5715985894203186,,0.4640990197658539,0.0,0.0003,66.70339965820312,tiny_batch,60,1.0,0.5715985894203186,,,
pure_bce,0.5483939051628113,,0.27795910835266113,0.0,0.0003,60.96922302246094,tiny_batch,70,1.0,0.5483939051628113,,,
pure_bce,0.679218053817749,,0.5369197726249695,0.0,0.0003,85.07757568359375,tiny_batch,80,1.0,0.679218053817749,,,
pure_bce,0.5536575317382812,,0.37735122442245483,0.0,0.0003,88.901123046875,tiny_batch,90,1.0,0.5536575317382812,,,
pure_bce,0.5742655992507935,,0.63236004114151,0.0,0.0003,172.62533569335938,tiny_batch,100,1.0,0.5742655992507935,,,
pure_bce,0.6058950424194336,,0.6594318747520447,0.0,0.0003,171.28106689453125,tiny_batch,110,1.0,0.6058950424194336,,,
pure_bce,0.4937015473842621,,0.43554311990737915,0.0,0.0003,176.77847290039062,tiny_batch,120,1.0,0.4937015473842621,,,
pure_bce,1.2557116254170735,1,0.3302139632900556,0.0,0.0003,29.45712384859721,small_subset,,1.0,1.2557116254170735,0.6580358743667603,0.6580358743667603,14.581992149353027
pure_bce,1.1450054550170898,2,0.44030117690563203,0.0,0.0003,63.12432699839274,small_subset,,1.0,1.1450054550170898,0.6463642716407776,0.6463642716407776,26.57439613342285
pure_bce,1.1184113428990046,3,0.5009839801987013,0.0,0.0003,92.58712882995606,small_subset,,1.0,1.1184113428990046,0.6379843354225159,0.6379843354225159,34.04362106323242
pure_bce,1.1088140738010406,4,0.5242699195941289,0.0,0.0003,110.80906949361166,small_subset,,1.0,1.1088140738010406,0.6310984492301941,0.6310984492301941,36.45548629760742
pure_bce,1.101639283100764,5,0.5274066833655039,0.0,0.0003,126.08880635579428,small_subset,,1.0,1.101639283100764,0.6285282373428345,0.6285282373428345,42.04108810424805
pure_bce,1.0938203354676566,6,0.538066331744194,0.0,0.0003,140.64156809488932,small_subset,,1.0,1.0938203354676566,0.6253900527954102,0.6253900527954102,55.657073974609375
pure_bce,1.0850455184777579,7,0.5494008107980093,0.0,0.0003,158.66245544433593,small_subset,,1.0,1.0850455184777579,0.6241751313209534,0.6241751313209534,59.22321701049805
pure_bce,1.0790597486495972,8,0.549133642911911,0.0,0.0003,170.00586453755696,small_subset,,1.0,1.0790597486495972,0.6217673420906067,0.6217673420906067,59.0563850402832
