baseline_label,clean_f1,clean_target_peak_abs_bias_db_mean,clean_weak_pd,f1,false_alarm_count,final_val_bce,final_val_loss,final_val_magmse,lambda_rec,measured_pfa,mid_pd,model_clean_mse_db_to_clean,narrow_weak_pd,non_overlap_weak_pd,output_mse_db_to_clean,overall_pd,strong_pd,target_peak_abs_bias_db_mean,weak_pd
bce_rec_l0p1,0.1561712846347607,0.2034441906601295,0.46564885496183206,0.1583459404942007,140,0.6622961163520813,0.6789306402206421,0.1663450449705124,0.1,0.009883515707730321,0.9878048780487805,0.07979529001156231,0.35390946502057613,0.4708994708994709,0.21824545860929465,0.6330749354005168,1.0,0.2753539794896006,0.4618320610687023
bce_rec_l0p5,0.1372299872935197,0.062079255575160426,0.38549618320610685,0.13642148129294987,149,0.6680577993392944,0.7296104431152344,0.12310530990362167,0.5,0.010518884574655841,0.975609756097561,0.0490234113069278,0.2716049382716049,0.37566137566137564,0.17283352196207177,0.5762273901808785,1.0,0.12935970512984557,0.3816793893129771
bce_rec_l1p0,0.13251783893985727,0.039613885463858994,0.36259541984732824,0.1313234542667348,145,0.6702078580856323,0.8176668286323547,0.1474589854478836,1.0,0.010236498411577833,0.975609756097561,0.08409869677785503,0.24279835390946503,0.3544973544973545,0.1934923776210585,0.5607235142118863,1.0,0.08841467001612421,0.35877862595419846
