input_type,magmse_db_to_clean,mse_db_to_clean,mse_power_to_clean,sir_name,target_sir_db
clean,0.0,0.0,0.0,,
mse_model_clean,0.048443113856534624,0.048443113856534624,10139392847.331367,,
pure_bce_model_clean,53.19774626009843,53.19774626009843,9.203193497437333e+16,,
bce_rec_l0p1_model_clean,0.07979529001156231,0.07979529001156231,1819679386.6317914,,
bce_rec_l0p5_model_clean,0.0490234113069278,0.0490234113069278,1619806752.8283515,,
bce_rec_l1p0_model_clean,0.08409869677785503,0.08409869677785503,1973186932.397265,,
interfered,0.6288538260336516,0.6288538260336516,7367296713.801158,light,10.0
mse_output,0.05460026126283479,0.05460026126283479,3346019477.975049,light,10.0
pure_bce_output,55.36023152003803,55.36023152003803,1.4340264892898939e+17,light,10.0
bce_rec_l0p1_output,0.10985502961058635,0.10985502961058635,5781627738.809162,light,10.0
bce_rec_l0p5_output,0.07744136348483019,0.07744136348483019,5813339630.596611,light,10.0
bce_rec_l1p0_output,0.09813577158034685,0.09813577158034685,5366165410.730462,light,10.0
interfered,6.312212692490721,6.312212692490721,485602335068.6868,medium,0.0
mse_output,0.1680695995408791,0.1680695995408791,32386571790.91976,medium,0.0
pure_bce_output,63.11410653293983,63.11410653293983,8.932475464483352e+18,medium,0.0
bce_rec_l0p1_output,0.21824545860929465,0.21824545860929465,39704372744.784775,medium,0.0
bce_rec_l0p5_output,0.17283352196207177,0.17283352196207177,34098518193.401924,medium,0.0
bce_rec_l1p0_output,0.1934923776210585,0.1934923776210585,31872222992.317863,medium,0.0
interfered,31.359072439790605,31.359072439790605,46389343920779.0,severe,-10.0
mse_output,1.3579996531153278,1.3579996531153278,814190170113.2738,severe,-10.0
pure_bce_output,83.26314909122632,83.26314909122632,2.530525172415012e+20,severe,-10.0
bce_rec_l0p1_output,2.001437891888222,2.001437891888222,1722964613174.2466,severe,-10.0
bce_rec_l0p5_output,1.6821018422924492,1.6821018422924492,1600617661080.6626,severe,-10.0
bce_rec_l1p0_output,2.1209751249970012,2.1209751249970012,1282913073435.4863,severe,-10.0
