background_cell_count,background_energy_increase_db,bootstrap_pfa_ci_high,bootstrap_pfa_ci_low,bootstrap_pfa_std,f1,false_alarm_count,fn_cells,fp_cells,frame_level_pfa_mean,frame_level_pfa_std,input_type,magmse_db_to_clean,mask_name,measured_pfa,mid_hits,mid_miss_rate,mid_n,mid_pd,mse_db_to_clean,mse_power_to_clean,name,noise_floor_change_db,overall_hits,overall_miss_rate,overall_n,overall_pd,precision,recall,sir_name,split_definition,strong_hits,strong_miss_rate,strong_n,strong_pd,target_peak_abs_bias_db_mean,target_peak_bias_db_mean,target_pfa,target_scope,target_sir_db,threshold,threshold_source,tp_cells,weak_hits,weak_miss_rate,weak_n,weak_pd
14165,0.0,0.012010512101263072,0.009092697234818722,0.00074184296841472,0.129757343550447,149,3258,149,0.01005841226032981,0.009616072981942801,clean,0.0,default,0.010518884574655841,80,0.024390243902439046,82,0.975609756097561,0.0,0.0,clean,0.0,215,0.4444444444444444,387,0.5555555555555556,0.630272952853598,0.07232346241457858,,clean_peak_percentile,43,0.0,43,1.0,0.0,0.0,0.01,all,,4.1612512870097,input_specific_validation_background,254,92,0.6488549618320612,262,0.3511450381679389
14165,2.1820237286934048,0.011381433287801161,0.009152352125938887,0.0005765925206473362,0.09580838323353295,145,3328,145,0.010473003256909119,0.007077693769967952,interfered,6.312212692490721,default,0.010236498411577833,75,0.08536585365853655,82,0.9146341463414634,6.312212692490721,485602335068.6868,interfered medium,0.29758278123249227,178,0.5400516795865633,387,0.4599483204134367,0.5592705167173252,0.05239179954441914,medium,clean_peak_percentile,43,0.0,43,1.0,0.01918402381115304,0.013813634410063792,0.01,all,0.0,5.509173661099714,input_specific_validation_background,184,60,0.7709923664122138,262,0.22900763358778625
14165,-0.10625440377745582,0.011998340453817365,0.009036363638417077,0.0007437680876641034,0.13503184713375796,148,3247,148,0.009993324697101137,0.009542693299867313,mse_output,0.1680695995408791,default,0.01044828803388634,80,0.024390243902439046,82,0.975609756097561,0.1680695995408791,32386571790.91976,MSE output medium,-0.023823953062169778,220,0.4315245478036176,387,0.5684754521963824,0.6416464891041163,0.07545558086560364,medium,clean_peak_percentile,43,0.0,43,1.0,0.10079212231989929,-0.05666929355170146,0.01,all,0.0,4.004819752137696,input_specific_validation_background,265,97,0.6297709923664122,262,0.3702290076335878
14165,4.405026669429737,0.01388486525728626,0.009320949583051472,0.0012041908640016803,0.30293234818748555,163,2856,163,0.011636554380611733,0.01589816718502359,pure_bce_output,63.11410653293983,default,0.011507236145428874,69,0.1585365853658537,82,0.8414634146341463,63.11410653293983,8.932475464483352e+18,pure BCE output medium,1.6746802074719298,280,0.27648578811369506,387,0.7235142118863049,0.800976800976801,0.1867881548974943,medium,clean_peak_percentile,41,0.046511627906976716,43,0.9534883720930233,4.491637668838289,3.0084581311674428,0.01,all,0.0,3.6743965064919424,input_specific_validation_background,656,170,0.35114503816793896,262,0.648854961832061
14165,0.020477560415586987,0.012056830395550961,0.009163214338364511,0.0007448806478604557,0.13115590711916303,150,3255,150,0.01012561656140508,0.009658172017729337,mse_model_clean,0.048443113856534624,default,0.010589481115425344,80,0.024390243902439046,82,0.975609756097561,0.048443113856534624,10139392847.331367,MSE model(clean),0.05480122379309904,216,0.4418604651162791,387,0.5581395348837209,0.6314496314496314,0.07317767653758542,,clean_peak_percentile,43,0.0,43,1.0,0.053228616017303915,0.05012594301186423,0.01,all,,4.152222563202746,input_specific_validation_background,257,93,0.6450381679389313,262,0.3549618320610687
14165,3.2680956090347903,0.013104883820208964,0.008812294155154152,0.0010833723545144087,0.29739776951672864,152,2872,152,0.010688944773687325,0.014470804885395304,pure_bce_model_clean,53.19774626009843,default,0.010730674196964348,69,0.1585365853658537,82,0.8414634146341463,53.19774626009843,9.203193497437333e+16,pure BCE model(clean),1.2145154634106134,278,0.28165374677002586,387,0.7183462532299741,0.8080808080808081,0.18223234624145787,,clean_peak_percentile,41,0.046511627906976716,43,0.9534883720930233,4.379684530150672,2.8450746334158934,0.01,all,,3.716232480697554,input_specific_validation_background,640,168,0.3587786259541985,262,0.6412213740458015
14165,-0.034142558688106596,0.011626938463858465,0.008105420212700613,0.0008505032403769304,0.1583459404942007,140,3198,140,0.009466455038726571,0.010514538113318893,bce_rec_l0p1_output,0.21824545860929465,default,0.009883515707730321,81,0.012195121951219523,82,0.9878048780487805,0.21824545860929465,39704372744.784775,BCE+rec lambda=0.1 output medium,0.04977002048060086,245,0.36692506459948315,387,0.6330749354005168,0.6916299559471366,0.08940774487471526,medium,clean_peak_percentile,43,0.0,43,1.0,0.2753539794896006,-0.1108802222142442,0.01,all,0.0,3.4443598810398908,input_specific_validation_background,314,121,0.5381679389312977,262,0.4618320610687023
14165,-0.07615455984166203,0.011932914653160697,0.008747217137917148,0.0008175656783319755,0.1561712846347607,148,3202,148,0.009954452913443683,0.010225304581116968,bce_rec_l0p1_model_clean,0.07979529001156231,default,0.01044828803388634,81,0.012195121951219523,82,0.9878048780487805,0.07979529001156231,1819679386.6317914,BCE+rec lambda=0.1 model(clean),0.018464969654154118,246,0.3643410852713178,387,0.6356589147286822,0.6768558951965066,0.08826879271070615,,clean_peak_percentile,43,0.0,43,1.0,0.2034441906601295,-0.027830353388101418,0.01,all,,3.5505607730271467,input_specific_validation_background,310,122,0.5343511450381679,262,0.46564885496183206
14165,-0.05590854492890648,0.012085166215237432,0.00903058526422317,0.0007322267296558442,0.13642148129294987,149,3244,149,0.010063834203134156,0.009447754009581776,bce_rec_l0p5_output,0.17283352196207177,default,0.010518884574655841,80,0.024390243902439046,82,0.975609756097561,0.17283352196207177,34098518193.401924,BCE+rec lambda=0.5 output medium,-0.02549632427201942,223,0.42377260981912146,387,0.5762273901808785,0.6426858513189448,0.07630979498861047,medium,clean_peak_percentile,43,0.0,43,1.0,0.12935970512984557,-0.10798991324360925,0.01,all,0.0,3.8921349780575896,input_specific_validation_background,268,100,0.6183206106870229,262,0.3816793893129771
14165,-0.09994751670765877,0.012294336879268498,0.009247521640325513,0.0007521662672430273,0.1372299872935197,153,3242,153,0.010294083642908989,0.009814659562004979,bce_rec_l0p5_model_clean,0.0490234113069278,default,0.010801270737733851,80,0.024390243902439046,82,0.975609756097561,0.0490234113069278,1619806752.8283515,BCE+rec lambda=0.5 model(clean),-0.030316775590087275,224,0.4211886304909561,387,0.5788113695090439,0.6382978723404256,0.07687927107061504,,clean_peak_percentile,43,0.0,43,1.0,0.062079255575160426,-0.0093802289336167,0.01,all,,3.944521417348249,input_specific_validation_background,270,101,0.6145038167938932,262,0.38549618320610685
