background_cell_count,background_energy_increase_db,false_alarm_count,hit_count,input_type,mask_name,measured_pfa,mse_db_to_clean,mse_power_to_clean,noise_floor_change_db,pd,protocol,sir_name,source_sequence,source_stage,split_definition,target_count,target_peak_abs_bias_db_mean,target_peak_bias_db_mean,target_pfa,target_sir_db,test_frame_count,threshold_source
3577,0.020936670009687693,41,52,mse_model_clean,narrow,0.011462119094213028,0.048443113856534624,10139392847.331367,0.05275989205355813,0.4444444444444444,D2A_fixed_pfa,,2019_04_30_mlms001,D3-Rerun,cfar_margin,117,0.050882145098635846,0.04771234938479939,0.01,,40,input_specific_validation_background
11481,0.020936670009687693,15,103,mse_model_clean,narrow,0.0013065064018813691,0.048443113856534624,10139392847.331367,0.05275989205355813,0.3814814814814815,D2A_fixed_pfa,,2019_04_30_mlms000,D3-Rerun,cfar_margin,270,0.050882145098635846,0.04771234938479939,0.001,,120,input_specific_validation_background
3577,0.020936670009687693,6,39,mse_model_clean,narrow,0.0016773832820799553,0.048443113856534624,10139392847.331367,0.05275989205355813,0.3333333333333333,D2A_fixed_pfa,,2019_04_30_mlms001,D3-Rerun,cfar_margin,117,0.050882145098635846,0.04771234938479939,0.001,,40,input_specific_validation_background
10839,0.020477560415586987,114,161,mse_model_clean,default,0.010517575422086908,0.048443113856534624,10139392847.331367,0.05480122379309904,0.5962962962962963,D2A_fixed_pfa,,2019_04_30_mlms000,D3-Rerun,clean_peak_percentile,270,0.053228616017303915,0.05012594301186423,0.01,,120,input_specific_validation_background
3326,0.020477560415586987,36,55,mse_model_clean,default,0.010823812387251955,0.048443113856534624,10139392847.331367,0.05480122379309904,0.4700854700854701,D2A_fixed_pfa,,2019_04_30_mlms001,D3-Rerun,clean_peak_percentile,117,0.053228616017303915,0.05012594301186423,0.01,,40,input_specific_validation_background
10839,0.020477560415586987,17,133,mse_model_clean,default,0.0015684103699603285,0.048443113856534624,10139392847.331367,0.05480122379309904,0.4925925925925926,D2A_fixed_pfa,,2019_04_30_mlms000,D3-Rerun,clean_peak_percentile,270,0.053228616017303915,0.05012594301186423,0.001,,120,input_specific_validation_background
3326,0.020477560415586987,8,42,mse_model_clean,default,0.0024052916416115455,0.048443113856534624,10139392847.331367,0.05480122379309904,0.358974358974359,D2A_fixed_pfa,,2019_04_30_mlms001,D3-Rerun,clean_peak_percentile,117,0.053228616017303915,0.05012594301186423,0.001,,40,input_specific_validation_background
10839,0.020477560415586987,114,161,mse_model_clean,default,0.010517575422086908,0.048443113856534624,10139392847.331367,0.05480122379309904,0.5962962962962963,D2A_fixed_pfa,,2019_04_30_mlms000,D3-Rerun,cfar_margin,270,0.053228616017303915,0.05012594301186423,0.01,,120,input_specific_validation_background
3326,0.020477560415586987,36,55,mse_model_clean,default,0.010823812387251955,0.048443113856534624,10139392847.331367,0.05480122379309904,0.4700854700854701,D2A_fixed_pfa,,2019_04_30_mlms001,D3-Rerun,cfar_margin,117,0.053228616017303915,0.05012594301186423,0.01,,40,input_specific_validation_background
10839,0.020477560415586987,17,133,mse_model_clean,default,0.0015684103699603285,0.048443113856534624,10139392847.331367,0.05480122379309904,0.4925925925925926,D2A_fixed_pfa,,2019_04_30_mlms000,D3-Rerun,cfar_margin,270,0.053228616017303915,0.05012594301186423,0.001,,120,input_specific_validation_background
