alpha,background_cell_count,baseline,clean_ok,clean_target_peak_abs_bias_db_mean,f1,false_alarm_count,family,final_val_det,final_val_loss,final_val_magmse,gamma,is_best_strong_baseline,measured_pfa,mid_pd,model_clean_mse_db_to_clean,output_mse_db_to_clean,overall_pd,pos_weight,stable_output,status,stopped_reason,strong_pd,target_peak_abs_bias_db_mean,valid_strong_baseline,weak_pd
,14165,mse,True,0.053228616017303915,0.13503184713375796,148,anchor,,,,,False,0.01044828803388634,0.975609756097561,0.048443113856534624,0.1680695995408791,0.5684754521963824,,True,REUSED,,1.0,0.10079212231989929,False,0.3702290076335878
,14165,bce_rec_anchor,True,0.062079255575160426,0.13642148129294987,149,anchor,,,,,False,0.010518884574655841,0.975609756097561,0.0490234113069278,0.17283352196207177,0.5762273901808785,,True,REUSED,,1.0,0.12935970512984557,False,0.3816793893129771
,14165,balanced_mild,True,0.065643709862658,0.13686084965657594,150,balanced,0.7550898194313049,0.816564679145813,0.12294971942901611,,True,0.010589481115425344,0.975609756097561,0.04496563823807927,0.16712267789838492,0.5762273901808785,1.185188030373864,True,DONE,,1.0,0.12028973556712054,True,0.3816793893129771
,14165,balanced_full,True,0.07705101800096073,0.13503184713375796,148,balanced,0.8504170179367065,0.9216287732124329,0.14242355525493622,,False,0.01044828803388634,0.975609756097561,0.08177227784145832,0.19176706578524302,0.5633074935400517,1.4046706673414793,True,DONE,,1.0,0.12764887442474185,True,0.36259541984732824
0.25,14165,focal_g1_a0p25,True,0.0490761801709623,0.13656050955414012,145,focal,0.15646982192993164,0.21861356496810913,0.12428748607635498,1.0,False,0.010236498411577833,0.975609756097561,0.05635040509201576,0.1718396334483478,0.5762273901808785,,True,DONE,,1.0,0.09501725051904644,True,0.3816793893129771
0.5,14165,focal_g1_a0p5,True,0.04812927060089418,0.1331972441949477,146,focal,0.3042169213294983,0.3717164993286133,0.1349991410970688,1.0,False,0.010307094952347336,0.975609756097561,0.06017985001224664,0.1848407244501848,0.5684754521963824,,True,DONE,,1.0,0.08718872996716859,True,0.3702290076335878
0.25,14165,focal_g2_a0p25,True,0.04417892951035532,0.13377584886392646,143,focal,0.14770333468914032,0.21053901314735413,0.1256713718175888,2.0,False,0.010095305330038828,0.975609756097561,0.03811133264273742,0.17148322568766824,0.5607235142118863,,True,DONE,,1.0,0.08164929105299033,True,0.35877862595419846
0.5,14165,focal_g2_a0p5,True,0.04896145638064494,0.1313570150779453,144,focal,0.2903098464012146,0.35494592785835266,0.12927217781543732,2.0,False,0.01016590187080833,0.975609756097561,0.046301839126765706,0.18760873720030483,0.5607235142118863,,True,DONE,,1.0,0.11000611341076971,True,0.35877862595419846
