background_energy_increase_db,class_group,hit_count,input_type,mask_name,mse_db_to_clean,mse_power_to_clean,noise_floor_change_db,pd,protocol,sir_name,source_stage,split_definition,target_count,target_peak_abs_bias_db_mean,target_peak_bias_db_mean,target_pfa,target_scope,target_sir_db,threshold_source
0.0,vehicle_like,17,clean,default,0.0,0.0,0.0,0.7391304347826086,D2A_fixed_pfa,,D3-Rerun,cfar_margin,23,0.0,0.0,0.01,non_overlap_only,,input_specific_validation_background
0.0,cyclist_like,45,clean,default,0.0,0.0,0.0,0.30612244897959184,D2A_fixed_pfa,,D3-Rerun,cfar_margin,147,0.0,0.0,0.001,all,,input_specific_validation_background
0.0,motorbike_like,0,clean,default,0.0,0.0,0.0,,D2A_fixed_pfa,,D3-Rerun,cfar_margin,0,0.0,0.0,0.001,all,,input_specific_validation_background
0.0,pedestrian_like,97,clean,default,0.0,0.0,0.0,0.5,D2A_fixed_pfa,,D3-Rerun,cfar_margin,194,0.0,0.0,0.001,all,,input_specific_validation_background
0.0,vehicle_like,34,clean,default,0.0,0.0,0.0,0.7391304347826086,D2A_fixed_pfa,,D3-Rerun,cfar_margin,46,0.0,0.0,0.001,all,,input_specific_validation_background
0.0,cyclist_like,3,clean,default,0.0,0.0,0.0,0.045454545454545456,D2A_fixed_pfa,,D3-Rerun,cfar_margin,66,0.0,0.0,0.001,non_overlap_only,,input_specific_validation_background
0.0,motorbike_like,0,clean,default,0.0,0.0,0.0,,D2A_fixed_pfa,,D3-Rerun,cfar_margin,0,0.0,0.0,0.001,non_overlap_only,,input_specific_validation_background
0.0,pedestrian_like,37,clean,default,0.0,0.0,0.0,0.32456140350877194,D2A_fixed_pfa,,D3-Rerun,cfar_margin,114,0.0,0.0,0.001,non_overlap_only,,input_specific_validation_background
0.0,vehicle_like,15,clean,default,0.0,0.0,0.0,0.6521739130434783,D2A_fixed_pfa,,D3-Rerun,cfar_margin,23,0.0,0.0,0.001,non_overlap_only,,input_specific_validation_background
0.020936670009687693,cyclist_like,24,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,0.16326530612244897,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,147,0.050882145098635846,0.04771234938479939,0.01,all,,input_specific_validation_background
