alpha,baseline,family,final_train_background_det,final_train_det,final_train_loss,final_train_magmse,final_train_target_det,final_val_background_det,final_val_det,final_val_loss,final_val_magmse,final_val_target_det,gamma,has_nan_or_inf,initial_train_loss,initial_val_loss,inverse_frequency_ratio,lambda_rec,lr,output_max_db,output_min_db,output_std_db,pos_weight,status,stopped_reason,temperature,tiny_final_loss,tiny_initial_loss,tiny_loss_drop_fraction,train_background_cells,train_loss_drop_fraction,train_target_cells,val_loss_drop_fraction,val_output_mse_db
,balanced_mild,balanced,0.0465414933860302,1.4680657386779785,1.5436716079711914,0.15121176838874817,3.152839422225952,0.05399187281727791,0.7550898194313049,0.816564679145813,0.12294971942901611,3.0227794647216797,,False,2.0627808570861816,1.1817340850830078,1.4046706673414793,0.5,0.0003,73.80208321817622,39.60610887120362,3.7788639959021393,1.185188030373864,DONE,,1.0,1.1685165166854858,3.7766740322113037,0.6905964065950112,38856,0.251655064245781,27662,0.3090114862105754,0.12294971605772154
,balanced_full,balanced,0.04660360887646675,1.5990076065063477,1.6836538314819336,0.16929244995117188,3.151411771774292,0.05464215949177742,0.8504170179367065,0.9216287732124329,0.14242355525493622,3.0221567153930664,,False,2.1884267330169678,1.2856905460357666,1.4046706673414793,0.5,0.0003,73.87325658418831,39.52570275842356,3.7754597326624713,1.4046706673414793,DONE,,1.0,1.311141014099121,3.8747928142547607,0.6616229365153056,38856,0.2306556093103257,27662,0.2831643850426243,0.1424235339946393
0.25,focal_g1_a0p25,focal,0.0056665558367967606,0.32088810205459595,0.3921239972114563,0.1424718052148819,0.7636706829071045,0.0086283590644598,0.15646982192993164,0.21861356496810913,0.12428748607635498,0.7232156991958618,1.0,False,0.9230334758758545,0.557780385017395,1.4046706673414793,0.5,0.0003,73.40002358503534,39.59925742916653,3.788038155658343,,DONE,,1.0,0.5891087651252747,3.16068172454834,0.8136133858243958,38856,0.5751790076309259,27662,0.6080651617727801,0.12428747355265916
0.5,focal_g1_a0p5,focal,0.0040345764718949795,0.635651707649231,0.7121893763542175,0.15307529270648956,1.522865891456604,0.0062945266254246235,0.3042169213294983,0.3717164993286133,0.1349991410970688,1.4462934732437134,1.0,False,1.1241111755371094,0.6634229421615601,1.4046706673414793,0.5,0.0003,73.89980569961335,39.5709416158121,3.7541793005370496,,DONE,,1.0,0.6486284732818604,3.3091530799865723,0.803989583556983,38856,0.3664422239962807,27662,0.4396990581641793,0.1349991430484278
0.25,focal_g2_a0p25,focal,0.002942692954093218,0.30836260318756104,0.38255083560943604,0.1483764946460724,0.7373769283294678,0.005216748919337988,0.14770333468914032,0.21053901314735413,0.1256713718175888,0.6939213871955872,2.0,False,0.847057580947876,0.5319631099700928,1.4046706673414793,0.5,0.0003,73.71060409772258,39.53547298951793,3.782944264274507,,DONE,,1.0,0.5314393043518066,3.1532630920410156,0.8314636968627247,38856,0.5483768232363221,27662,0.6042225312217783,0.12567137827684835
0.5,focal_g2_a0p5,focal,0.00219172821380198,0.6132891178131104,0.6915992498397827,0.1566203087568283,1.471679925918579,0.0037745649460703135,0.2903098464012146,0.35494592785835266,0.12927217781543732,1.3887343406677246,2.0,False,1.123822569847107,0.6450278759002686,1.4046706673414793,0.5,0.0003,73.82132586896114,39.55046619192535,3.805478063673666,,DONE,,1.0,0.7184144258499146,3.298003673553467,0.7821668812527878,38856,0.3846010318747443,27662,0.44972001812642143,0.12927217561059087
