axis_sign,azimuth_deg_max,azimuth_deg_mean,azimuth_deg_min,azimuth_deg_std,bin_mode,candidate,consistent_with_manifest_range,d1a_manifest_azimuth_max_deg,d1a_manifest_azimuth_min_deg,d1a_style_projection_hit_rate_all_frames,d1a_style_projection_hit_rate_d5c_test_weak,d5c_fixed_pfa_target_projection_hit_rate,d5c_fixed_pfa_weak_projection_hit_rate,formula,formula_rank_key_weak_hit,mean_abs_peak_angle_error_deg,median_abs_peak_angle_error_deg,p90_abs_peak_angle_error_deg,unit_mode,within_minus90_to_90_ratio
normal,48.40996542311242,-2.1539468612157933,-59.117590946887006,29.189236716982048,fftshift_linear_sin,atan2_px_py_current,True,48.40996542311242,-59.117590946887006,0.8762970168612192,0.7531064289573204,0.11886304909560723,0.030534351145038167,"atan2(px, py)",0.030534351145038167,34.67690749879233,29.586383355856704,68.06189023115901,degrees_correct,1.0
normal,149.117590946887,92.15394686121579,41.59003457688759,29.189236716982048,fftshift_linear_sin,atan2_py_px_current,False,48.40996542311242,-59.117590946887006,0.8899156939040207,0.715829281469476,0.06976744186046512,0.04961832061068702,"atan2(py, px)",0.04961832061068702,65.76688000102152,54.03424643570049,125.96575356429952,degrees_correct,0.4711413748378729
normal,59.117590946887006,2.1539468612157933,-48.40996542311242,29.189236716982048,fftshift_linear_sin,atan2_neg_px_py_current,False,48.40996542311242,-59.117590946887006,0.8670557717250325,0.7039438141545111,0.05167958656330749,0.026717557251908396,"atan2(-px, py)",0.026717557251908396,40.94176390391078,42.34512377274232,61.23102471300422,degrees_correct,1.0
normal,178.65576089320973,-8.235158197149968,-179.56961726280832,156.49705161370002,fftshift_linear_sin,atan2_px_neg_py_current,False,48.40996542311242,-59.117590946887006,0.8762970168612192,0.7531064289573204,0.11886304909560723,0.030534351145038167,"atan2(px, -py)",0.030534351145038167,34.67690749879233,29.586383355856704,68.06189023115901,degrees_correct,0.0
normal,48.40996542311242,-2.1539468612157933,-59.117590946887006,29.189236716982048,fftshift_linear_sin,atan2_px_py_degrees_treated_as_radians,True,48.40996542311242,-59.117590946887006,0.8597600518806745,0.7358184764991896,0.08785529715762273,0.04580152671755725,"atan2(px, py)",0.04580152671755725,53.05321569745104,47.242957208809756,107.71976409435788,degrees_treated_as_radians,1.0
normal,48.40996542311242,-2.1539468612157933,-59.117590946887006,29.189236716982048,fftshift_linear_sin,atan2_px_py_radians_treated_as_degrees,True,48.40996542311242,-59.117590946887006,0.830739299610895,0.6007563479200432,0.082687338501292,0.0,"atan2(px, py)",0.0,36.052508098851085,35.05625855229434,50.148063719013436,radians_treated_as_degrees,1.0
reversed,48.40996542311242,-2.1539468612157933,-59.117590946887006,29.189236716982048,fftshift_linear_sin,atan2_px_py_axis_reversed,True,48.40996542311242,-59.117590946887006,0.8670557717250325,0.7039438141545111,0.05167958656330749,0.026717557251908396,"atan2(px, py)",0.026717557251908396,40.94176390391078,42.34512377274232,61.23102471300422,degrees_correct,1.0
normal,48.40996542311242,-2.1539468612157933,-59.117590946887006,29.189236716982048,unshifted_bins_on_shifted_map,atan2_px_py_unshifted_bins_on_shifted_map,True,48.40996542311242,-59.117590946887006,0.9072632944228275,0.813614262560778,0.10594315245478036,0.10305343511450382,"atan2(px, py)",0.10305343511450382,62.70976450315221,77.17282690800819,100.75698826754115,degrees_correct,1.0
