angle_total_width_bins,axis_sign,bin_mode,candidate,formula,hit_count,mean_abs_peak_angle_error_deg,mean_contrast_db,overlap_ratio,projection_hit_rate,range_mask_name,subset,target_count,unit_mode
1,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",1,38.62352619330812,6.144596958888396,0.0,0.003816793893129771,default,weak,262,degrees_correct
1,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",15,27.152112705192977,8.53720334681069,0.0,0.18292682926829268,default,mid,82,degrees_correct
1,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",17,24.979676687443714,10.150785934093387,0.0,0.3953488372093023,default,strong,43,degrees_correct
1,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",1,38.62352619330812,6.144596958888396,0.0,0.003816793893129771,default,non_overlap_only_weak,262,degrees_correct
1,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",0,,,0.0,0.0,default,overlap_only_weak,0,degrees_correct
2,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",36,34.67690749879233,7.678460941758266,0.015503875968992248,0.09302325581395349,default,all,387,degrees_correct
2,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",3,38.62352619330812,6.780898130577029,0.0,0.011450381679389313,default,weak,262,degrees_correct
2,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",15,27.152112705192977,8.943097696071717,0.07317073170731707,0.18292682926829268,default,mid,82,degrees_correct
2,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",18,24.979676687443714,10.735699143520621,0.0,0.4186046511627907,default,strong,43,degrees_correct
2,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",3,38.62352619330812,6.780898130577029,0.0,0.011450381679389313,default,non_overlap_only_weak,262,degrees_correct
2,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",0,,,0.0,0.0,default,overlap_only_weak,0,degrees_correct
3,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",38,34.67690749879233,8.098684877696272,0.12919896640826872,0.09819121447028424,default,all,387,degrees_correct
3,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",3,38.62352619330812,7.252210151148207,0.011450381679389313,0.011450381679389313,default,weak,262,degrees_correct
3,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",17,27.152112705192977,9.280619691057902,0.35365853658536583,0.2073170731707317,default,mid,82,degrees_correct
3,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",18,24.979676687443714,11.002352869787881,0.4186046511627907,0.4186046511627907,default,strong,43,degrees_correct
3,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",2,38.91153019125024,7.220471503651741,0.0,0.007722007722007722,default,non_overlap_only_weak,259,degrees_correct
3,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",1,13.759181037638307,9.992313385009766,1.0,0.3333333333333333,default,overlap_only_weak,3,degrees_correct
5,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",45,34.67690749879233,8.928279709138303,0.17054263565891473,0.11627906976744186,default,all,387,degrees_correct
5,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",8,38.62352619330812,8.225285988727599,0.03435114503816794,0.030534351145038167,default,weak,262,degrees_correct
5,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",19,27.152112705192977,9.782780112289801,0.4024390243902439,0.23170731707317074,default,mid,82,degrees_correct
5,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",18,24.979676687443714,11.582124399584393,0.5581395348837209,0.4186046511627907,default,strong,43,degrees_correct
5,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",7,39.26753934594621,8.196031985075578,0.0,0.02766798418972332,default,non_overlap_only_weak,253,degrees_correct
5,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",1,20.51960090248198,9.04764853583442,1.0,0.1111111111111111,default,overlap_only_weak,9,degrees_correct
7,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",46,34.67690749879233,9.581400218244054,0.21705426356589147,0.11886304909560723,default,all,387,degrees_correct
7,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",8,38.62352619330812,9.027531631120288,0.0648854961832061,0.030534351145038167,default,weak,262,degrees_correct
7,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",19,27.152112705192977,10.13440141445253,0.47560975609756095,0.23170731707317074,default,mid,82,degrees_correct
7,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",19,24.979676687443714,11.901573979577353,0.6511627906976745,0.4418604651162791,default,strong,43,degrees_correct
7,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",7,39.66128001273183,9.049545163524394,0.0,0.02857142857142857,default,non_overlap_only_weak,245,degrees_correct
7,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",1,23.6676623251428,8.710277781767005,1.0,0.058823529411764705,default,overlap_only_weak,17,degrees_correct
10,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",61,34.67690749879233,10.455909315005753,0.23255813953488372,0.15762273901808785,default,all,387,degrees_correct
10,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",20,38.62352619330812,10.099648628526062,0.0648854961832061,0.07633587786259542,default,weak,262,degrees_correct
10,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",21,27.152112705192977,10.669294589903297,0.5,0.25609756097560976,default,mid,82,degrees_correct
10,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",20,24.979676687443714,12.219693206077398,0.7441860465116279,0.46511627906976744,default,strong,43,degrees_correct
10,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",19,39.66128001273183,10.122698834477639,0.0,0.07755102040816327,default,non_overlap_only_weak,245,degrees_correct
10,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",1,23.6676623251428,9.767454483929802,1.0,0.058823529411764705,default,overlap_only_weak,17,degrees_correct
1,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",42,32.6206675016644,8.0701895425486,0.0,0.10852713178294573,wide,all,387,degrees_correct
1,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",2,37.78538992752629,6.865191859824985,0.0,0.00784313725490196,wide,weak,255,degrees_correct
1,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",20,24.475386537594556,9.444780653173273,0.0,0.22727272727272727,wide,mid,88,degrees_correct
1,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",20,18.97931537083181,12.304516618902033,0.0,0.45454545454545453,wide,strong,44,degrees_correct
1,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",2,37.78538992752629,6.865191859824985,0.0,0.00784313725490196,wide,non_overlap_only_weak,255,degrees_correct
1,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",0,,,0.0,0.0,wide,overlap_only_weak,0,degrees_correct
2,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",45,32.6206675016644,8.65722331951447,0.015503875968992248,0.11627906976744186,wide,all,387,degrees_correct
2,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",3,37.78538992752629,7.4813842175053615,0.0,0.011764705882352941,wide,weak,255,degrees_correct
2,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",21,24.475386537594556,9.920749100771816,0.06818181818181818,0.23863636363636365,wide,mid,88,degrees_correct
2,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",21,18.97931537083181,12.944693825461648,0.0,0.4772727272727273,wide,strong,44,degrees_correct
2,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",3,37.78538992752629,7.4813842175053615,0.0,0.011764705882352941,wide,non_overlap_only_weak,255,degrees_correct
2,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",0,,,0.0,0.0,wide,overlap_only_weak,0,degrees_correct
3,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",49,32.6206675016644,9.05839844144284,0.12919896640826872,0.12661498708010335,wide,all,387,degrees_correct
3,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",3,37.78538992752629,7.927237910850375,0.0,0.011764705882352941,wide,weak,255,degrees_correct
3,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",23,24.475386537594556,10.218738295815207,0.38636363636363635,0.26136363636363635,wide,mid,88,degrees_correct
3,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",23,18.97931537083181,13.293308171358975,0.36363636363636365,0.5227272727272727,wide,strong,44,degrees_correct
