background_cell_count,background_energy_increase_db,bootstrap_pfa_ci_high,bootstrap_pfa_ci_low,bootstrap_pfa_std,f1,false_alarm_count,fn_cells,fp_cells,frame_level_pfa_mean,frame_level_pfa_std,has_nan_or_inf,input_type,lambda_rec,last_grad_norm_before_clip,lr,mask_name,measured_pfa,mid_hits,mid_miss_rate,mid_n,mid_pd,model_clean_mse_db,mse_db_to_clean,mse_power_to_clean,noise_floor_change_db,output_max_db,output_mean_db,output_min_db,output_std_db,overall_hits,overall_miss_rate,overall_n,overall_pd,precision,recall,sir_name,split_definition,steps,strong_hits,strong_miss_rate,strong_n,strong_pd,target_peak_abs_bias_db_mean,target_peak_bias_db_mean,target_pfa,target_scope,target_sir_db,temperature,threshold,threshold_source,tp_cells,train_bce_term,train_loss,train_magmse_term,val_background_bce,val_bce,val_mse_db_to_clean,val_target_bce,weak_hits,weak_miss_rate,weak_n,weak_pd
6046,2.531106383986766,0.01624927320275466,0.009774151032764265,0.0016200999904711778,0.30307692307692313,78,828,78,0.012948839271327756,0.0135813663219568,False,anchor_output,0.0,0.5897469520568848,0.0008,narrow,0.012901091630830301,56,0.17647058823529416,68,0.8235294117647058,28.373465375034478,45.797369327478975,3440147358494716.0,2.4178089748851903,92.53147842225508,48.03475604770114,30.225977109341557,7.206380973593279,113,0.28481012658227844,158,0.7151898734177216,0.7163636363636363,0.19219512195121952,medium,clean_peak_percentile,140,26,0.0714285714285714,28,0.9285714285714286,3.6814317877843257,2.435007639912367,0.01,all,0.0,0.7,3.4968456114990065,input_specific_validation_background,197,1.097339153289795,1.097339153289795,54.559757232666016,0.04403667151927948,0.7899365425109863,40.08121636223811,3.3916049003601074,31,0.5,62,0.5
6046,2.531106383986766,0.01624927320275466,0.009774151032764265,0.0016200999904711778,0.30307692307692313,78,828,78,0.012948839271327756,0.0135813663219568,False,anchor_output,0.0,0.5897469520568848,0.0008,narrow,0.012901091630830301,37,0.24489795918367352,49,0.7551020408163265,28.373465375034478,45.797369327478975,3440147358494716.0,2.4178089748851903,92.53147842225508,48.03475604770114,30.225977109341557,7.206380973593279,76,0.3613445378151261,119,0.6386554621848739,0.7163636363636363,0.19219512195121952,medium,clean_peak_percentile,140,8,0.0,8,1.0,3.6814317877843257,2.435007639912367,0.01,non_overlap_only,0.0,0.7,3.4968456114990065,input_specific_validation_background,197,1.097339153289795,1.097339153289795,54.559757232666016,0.04403667151927948,0.7899365425109863,40.08121636223811,3.3916049003601074,31,0.5,62,0.5
6046,2.531106383986766,0.0041974606703389285,0.0014799134523647266,0.0007296027290250704,0.23708721422523285,16,885,16,0.0025894480273888796,0.005672344229315597,False,anchor_output,0.0,0.5897469520568848,0.0008,narrow,0.0026463777704267286,47,0.3088235294117647,68,0.6911764705882353,28.373465375034478,45.797369327478975,3440147358494716.0,2.4178089748851903,92.53147842225508,48.03475604770114,30.225977109341557,7.206380973593279,89,0.43670886075949367,158,0.5632911392405063,0.8974358974358975,0.13658536585365855,medium,clean_peak_percentile,140,24,0.1428571428571429,28,0.8571428571428571,3.6814317877843257,2.435007639912367,0.001,all,0.0,0.7,4.419852751372262,input_specific_validation_background,140,1.097339153289795,1.097339153289795,54.559757232666016,0.04403667151927948,0.7899365425109863,40.08121636223811,3.3916049003601074,18,0.7096774193548387,62,0.2903225806451613
6046,2.531106383986766,0.0041974606703389285,0.0014799134523647266,0.0007296027290250704,0.23708721422523285,16,885,16,0.0025894480273888796,0.005672344229315597,False,anchor_output,0.0,0.5897469520568848,0.0008,narrow,0.0026463777704267286,31,0.36734693877551017,49,0.6326530612244898,28.373465375034478,45.797369327478975,3440147358494716.0,2.4178089748851903,92.53147842225508,48.03475604770114,30.225977109341557,7.206380973593279,57,0.5210084033613445,119,0.4789915966386555,0.8974358974358975,0.13658536585365855,medium,clean_peak_percentile,140,8,0.0,8,1.0,3.6814317877843257,2.435007639912367,0.001,non_overlap_only,0.0,0.7,4.419852751372262,input_specific_validation_background,140,1.097339153289795,1.097339153289795,54.559757232666016,0.04403667151927948,0.7899365425109863,40.08121636223811,3.3916049003601074,18,0.7096774193548387,62,0.2903225806451613
6046,2.531106383986766,0.01624927320275466,0.009774151032764265,0.0016200999904711778,0.30307692307692313,78,828,78,0.012948839271327756,0.0135813663219568,False,anchor_output,0.0,0.5897469520568848,0.0008,narrow,0.012901091630830301,51,0.2153846153846154,65,0.7846153846153846,28.373465375034478,45.797369327478975,3440147358494716.0,2.4178089748851903,92.53147842225508,48.03475604770114,30.225977109341557,7.206380973593279,113,0.28481012658227844,158,0.7151898734177216,0.7163636363636363,0.19219512195121952,medium,cfar_margin,140,28,0.03448275862068961,29,0.9655172413793104,3.6814317877843257,2.435007639912367,0.01,all,0.0,0.7,3.4968456114990065,input_specific_validation_background,197,1.097339153289795,1.097339153289795,54.559757232666016,0.04403667151927948,0.7899365425109863,40.08121636223811,3.3916049003601074,34,0.46875,64,0.53125
6046,2.531106383986766,0.01624927320275466,0.009774151032764265,0.0016200999904711778,0.30307692307692313,78,828,78,0.012948839271327756,0.0135813663219568,False,anchor_output,0.0,0.5897469520568848,0.0008,narrow,0.012901091630830301,40,0.23076923076923073,52,0.7692307692307693,28.373465375034478,45.797369327478975,3440147358494716.0,2.4178089748851903,92.53147842225508,48.03475604770114,30.225977109341557,7.206380973593279,76,0.3613445378151261,119,0.6386554621848739,0.7163636363636363,0.19219512195121952,medium,cfar_margin,140,13,0.0714285714285714,14,0.9285714285714286,3.6814317877843257,2.435007639912367,0.01,non_overlap_only,0.0,0.7,3.4968456114990065,input_specific_validation_background,197,1.097339153289795,1.097339153289795,54.559757232666016,0.04403667151927948,0.7899365425109863,40.08121636223811,3.3916049003601074,23,0.5660377358490566,53,0.4339622641509434
6046,2.531106383986766,0.0041974606703389285,0.0014799134523647266,0.0007296027290250704,0.23708721422523285,16,885,16,0.0025894480273888796,0.005672344229315597,False,anchor_output,0.0,0.5897469520568848,0.0008,narrow,0.0026463777704267286,44,0.32307692307692304,65,0.676923076923077,28.373465375034478,45.797369327478975,3440147358494716.0,2.4178089748851903,92.53147842225508,48.03475604770114,30.225977109341557,7.206380973593279,89,0.43670886075949367,158,0.5632911392405063,0.8974358974358975,0.13658536585365855,medium,cfar_margin,140,26,0.10344827586206895,29,0.896551724137931,3.6814317877843257,2.435007639912367,0.001,all,0.0,0.7,4.419852751372262,input_specific_validation_background,140,1.097339153289795,1.097339153289795,54.559757232666016,0.04403667151927948,0.7899365425109863,40.08121636223811,3.3916049003601074,19,0.703125,64,0.296875
6046,2.531106383986766,0.0041974606703389285,0.0014799134523647266,0.0007296027290250704,0.23708721422523285,16,885,16,0.0025894480273888796,0.005672344229315597,False,anchor_output,0.0,0.5897469520568848,0.0008,narrow,0.0026463777704267286,35,0.32692307692307687,52,0.6730769230769231,28.373465375034478,45.797369327478975,3440147358494716.0,2.4178089748851903,92.53147842225508,48.03475604770114,30.225977109341557,7.206380973593279,57,0.5210084033613445,119,0.4789915966386555,0.8974358974358975,0.13658536585365855,medium,cfar_margin,140,12,0.1428571428571429,14,0.8571428571428571,3.6814317877843257,2.435007639912367,0.001,non_overlap_only,0.0,0.7,4.419852751372262,input_specific_validation_background,140,1.097339153289795,1.097339153289795,54.559757232666016,0.04403667151927948,0.7899365425109863,40.08121636223811,3.3916049003601074,10,0.8113207547169812,53,0.18867924528301888
5675,2.519266510600906,0.016543745346853357,0.010086315185848384,0.0016922456996694515,0.2251279135872655,74,1289,74,0.012857964228448093,0.01427928922479123,False,anchor_output,0.0,0.5897469520568848,0.0008,default,0.01303964757709251,44,0.10204081632653061,49,0.8979591836734694,28.373465375034478,45.797369327478975,3440147358494716.0,2.4097559104641846,92.53147842225508,48.03475604770114,30.225977109341557,7.206380973593279,124,0.21518987341772156,158,0.7848101265822784,0.7279411764705882,0.13315400134498992,medium,clean_peak_percentile,140,40,0.024390243902439046,41,0.975609756097561,3.4523991688828204,1.8184390585906438,0.01,all,0.0,0.7,3.4844310615651053,input_specific_validation_background,198,1.097339153289795,1.097339153289795,54.559757232666016,0.04403667151927948,0.7899365425109863,40.08121636223811,3.3916049003601074,40,0.4117647058823529,68,0.5882352941176471
5675,2.519266510600906,0.016543745346853357,0.010086315185848384,0.0016922456996694515,0.2251279135872655,74,1289,74,0.012857964228448093,0.01427928922479123,False,anchor_output,0.0,0.5897469520568848,0.0008,default,0.01303964757709251,6,0.0,6,1.0,28.373465375034478,45.797369327478975,3440147358494716.0,2.4097559104641846,92.53147842225508,48.03475604770114,30.225977109341557,7.206380973593279,36,0.368421052631579,57,0.631578947368421,0.7279411764705882,0.13315400134498992,medium,clean_peak_percentile,140,0,,0,,3.4523991688828204,1.8184390585906438,0.01,non_overlap_only,0.0,0.7,3.4844310615651053,input_specific_validation_background,198,1.097339153289795,1.097339153289795,54.559757232666016,0.04403667151927948,0.7899365425109863,40.08121636223811,3.3916049003601074,30,0.4117647058823529,51,0.5882352941176471
