all_zero_or_one_bug,case,cfar_score_min,cfar_score_p50,cfar_score_p99,gradient_norm_reference_batch,hard_soft_detection_corr_valid_cells,local_background_power_min,local_background_power_p50,local_background_power_p99,pre_sigmoid_p1,pre_sigmoid_p50,pre_sigmoid_p99,sigmoid_gt_0p99_fraction,sigmoid_lt_0p01_fraction,sigmoid_mean,sigmoid_p1,sigmoid_p50,sigmoid_p99,temperature,threshold
False,clean,0.02600192464888096,0.7199933528900146,24.08052532196051,0.32202466463312784,0.9438898532517397,17370.390625,44999.767578125,1042586.0468750002,-5.063822898864746,-4.122042655944824,29.250146236419766,0.017578125,0.1856689453125,0.0610082745552063,0.00628163915593177,0.015952750109136105,1.0,0.7,3.6054232820530796
False,interfered_medium,0.020335515961050987,0.6648036241531372,41.79645092010509,0.32202466463312784,0.95356948244913,17987.36328125,46822.6640625,1858452.3050000009,-5.0972702693939205,-4.20088529586792,54.55861244201675,0.0482177734375,0.2525634765625,0.08881780505180359,0.006076265065930783,0.014761151745915413,1.0,0.7,3.6054232820530796
False,reference_bce_output_medium,3.99387954530539e-06,0.5866170525550842,1643.7089257812775,0.32202466463312784,0.9137925051426276,7916.80322265625,89752.37109375,70518101.68000007,-5.150254292488098,-4.312580347061157,2343.0050781250393,0.049560546875,0.425537109375,0.10487115383148193,0.0057645078608766194,0.013221773318946362,1.0,0.7,3.6054232820530796
False,reference_bce_model_clean,0.0002154050162062049,0.6310735046863556,196.12311157226583,0.32202466463312784,0.9138439394464977,6398.47314453125,74774.81640625,2376094.3175000013,-5.146850008964538,-4.24907112121582,275.0252828979495,0.0439453125,0.4132080078125,0.09247931838035583,0.005784051739610731,0.01407651323825121,1.0,0.7,3.6054232820530796
