background_det_term,baseline,detection_term,epoch,grad_norm_before_clip,lambda_rec,lr,magmse_term,split_definition_train,stage,step,target_det_term,temperature,train_loss,val_background_det_term,val_detection_term,val_loss,val_magmse_term,val_target_det_term,weak_weight
0.11349239200353622,weak_peak_w2p0,0.7535060048103333,,3.415907859802246,0.5,0.0003,10.686240196228027,clean_peak_percentile,tiny_batch,1,3.265899658203125,1.0,6.096626281738281,,,,,,2.0
0.08199244737625122,weak_peak_w2p0,0.6308580040931702,,4.730713367462158,0.5,0.0003,9.286429405212402,clean_peak_percentile,tiny_batch,10,3.1238975524902344,1.0,5.274072647094727,,,,,,2.0
0.10485385358333588,weak_peak_w2p0,0.763806939125061,,7.386223316192627,0.5,0.0003,6.677563190460205,clean_peak_percentile,tiny_batch,20,3.136038064956665,1.0,4.102588653564453,,,,,,2.0
0.0511762835085392,weak_peak_w2p0,0.6929315328598022,,3.0328352451324463,0.5,0.0003,1.4748095273971558,clean_peak_percentile,tiny_batch,30,3.2121622562408447,1.0,1.4303362369537354,,,,,,2.0
0.05194777622818947,weak_peak_w2p0,0.678458034992218,,4.977270603179932,0.5,0.0003,1.5701191425323486,clean_peak_percentile,tiny_batch,40,3.332327127456665,1.0,1.463517665863037,,,,,,2.0
0.04478508606553078,weak_peak_w2p0,0.7150676846504211,,3.0444650650024414,0.5,0.0003,1.2972724437713623,clean_peak_percentile,tiny_batch,50,3.191009521484375,1.0,1.363703966140747,,,,,,2.0
0.048101142048835754,weak_peak_w2p0,0.5887420773506165,,4.866894721984863,0.5,0.0003,1.8864965438842773,clean_peak_percentile,tiny_batch,60,3.2572906017303467,1.0,1.5319902896881104,,,,,,2.0
0.053457483649253845,weak_peak_w2p0,0.708015501499176,,7.189306735992432,0.5,0.0003,1.5092082023620605,clean_peak_percentile,tiny_batch,70,3.1258723735809326,1.0,1.4626195430755615,,,,,,2.0
0.05241158604621887,weak_peak_w2p0,0.4703308343887329,,2.055410146713257,0.5,0.0003,1.0898137092590332,clean_peak_percentile,tiny_batch,80,3.1038856506347656,1.0,1.0152376890182495,,,,,,2.0
0.04895760491490364,weak_peak_w2p0,0.6267040967941284,,2.1780474185943604,0.5,0.0003,0.7052900195121765,clean_peak_percentile,tiny_batch,90,3.123631715774536,1.0,0.9793491363525391,,,,,,2.0
0.049414634704589844,weak_peak_w2p0,0.7449677586555481,,4.253499507904053,0.5,0.0003,0.8555967807769775,clean_peak_percentile,tiny_batch,100,3.1258997917175293,1.0,1.1727662086486816,,,,,,2.0
0.051339589059352875,weak_peak_w2p0,0.5826353430747986,,3.3074514865875244,0.5,0.0003,0.8909624814987183,clean_peak_percentile,tiny_batch,110,3.1651365756988525,1.0,1.0281165838241577,,,,,,2.0
0.04841972887516022,weak_peak_w2p0,0.6182733178138733,,3.135956048965454,0.5,0.0003,0.5404090285301208,clean_peak_percentile,tiny_batch,120,3.1163527965545654,1.0,0.8884778022766113,,,,,,2.0
0.04939595970014731,weak_peak_w2p0,1.5498522953192393,1,2.3870191419124605,0.5,0.0003,0.6611994162201882,clean_peak_percentile,small_subset,,3.1536273368199668,1.0,1.8804520014921824,0.0550353117287159,0.9762319326400757,1.1920956373214722,0.43172740936279297,3.0243444442749023,2.0
0.047872768715023994,weak_peak_w2p0,1.5448064982891083,2,2.0432544775803883,0.5,0.0003,0.4864804418881734,clean_peak_percentile,small_subset,,3.147293535868327,1.0,1.7880467108885447,0.0547654815018177,0.9757037162780762,1.1376652717590332,0.32392317056655884,3.0233232975006104,2.0
0.04670421915749709,weak_peak_w2p0,1.5442582523822785,3,1.7756185082594553,0.5,0.0003,0.3356717145939668,clean_peak_percentile,small_subset,,3.1452528699239095,1.0,1.7120941110452017,0.05448780953884125,0.9754770398139954,1.0838372707366943,0.2167205810546875,3.0230817794799805,2.0
0.04634621436397235,weak_peak_w2p0,1.5454172893365223,4,1.5525025798877081,0.5,0.0003,0.26564549540479976,clean_peak_percentile,small_subset,,3.1454270919164022,1.0,1.6782400385538736,0.054093796759843826,0.975192666053772,1.0725371837615967,0.1946890652179718,3.0232629776000977,2.0
0.04623403487106164,weak_peak_w2p0,1.5445412468910218,5,1.5028047859668732,0.5,0.0003,0.2432546521226565,clean_peak_percentile,small_subset,,3.14570378780365,1.0,1.6661685768763224,0.05465155839920044,0.9752750396728516,1.0595669746398926,0.16858398914337158,3.022207498550415,2.0
0.04622275767227014,weak_peak_w2p0,1.5434079825878144,6,1.3990504839022955,0.5,0.0003,0.22060912509759267,clean_peak_percentile,small_subset,,3.145703706741333,1.0,1.653712548414866,0.05358390882611275,0.9747247099876404,1.0524035692214966,0.1553577035665512,3.023005962371826,2.0
