background_cell_count,baseline,beats_balanced_mild_weak_pd,clean_ok,clean_target_peak_abs_bias_db_mean,f1,false_alarm_count,final_val_detection,final_val_loss,final_val_magmse,group,is_best_d5,measured_pfa,mid_pd,model_clean_mse_db_to_clean,narrow_weak_pd,non_overlap_weak_pd,output_mse_db_to_clean,overall_pd,split_definition_train,stable_output,status,stopped_reason,strong_pd,target_peak_abs_bias_db_mean,valid_d5_candidate,weak_pd,weak_weight
14165,mse,False,True,0.053228616017303915,0.13503184713375796,148,,,,anchor,False,0.01044828803388634,0.975609756097561,0.048443113856534624,0.25925925925925924,0.37037037037037035,0.1680695995408791,0.5684754521963824,clean_peak_percentile,True,REUSED,,1.0,0.10079212231989929,False,0.3702290076335878,
14165,bce_rec_anchor,False,True,0.062079255575160426,0.13642148129294987,149,,,,anchor,False,0.010518884574655841,0.975609756097561,0.0490234113069278,0.2716049382716049,0.37566137566137564,0.17283352196207177,0.5762273901808785,clean_peak_percentile,True,REUSED,,1.0,0.12935970512984557,False,0.3816793893129771,
14165,balanced_mild,False,True,0.065643709862658,0.13686084965657594,150,,,,D4 strong,False,0.010589481115425344,0.975609756097561,0.04496563823807927,0.2716049382716049,0.37566137566137564,0.16712267789838492,0.5762273901808785,clean_peak_percentile,True,REUSED,,1.0,0.12028973556712054,False,0.3816793893129771,
14165,focal_g1_a0p25,False,True,0.0490761801709623,0.13656050955414012,145,,,,D4 focal,False,0.010236498411577833,0.975609756097561,0.05635040509201576,0.2674897119341564,0.37566137566137564,0.1718396334483478,0.5762273901808785,clean_peak_percentile,True,REUSED,,1.0,0.09501725051904644,False,0.3816793893129771,
14165,weak_peak_w2p0,True,True,0.07406769430899442,0.1387900355871886,149,0.9740035533905029,1.0387576818466187,0.12950818240642548,D5 weak,True,0.010518884574655841,0.975609756097561,0.045259687649677846,0.2716049382716049,0.38095238095238093,0.18798213730087854,0.5788113695090439,clean_peak_percentile,True,DONE,,1.0,0.11439583970503175,True,0.38549618320610685,2.0
14165,weak_peak_w3p0,False,True,0.07927862556859562,0.13842239185750638,146,1.2103525400161743,1.2757396697998047,0.1307741403579712,D5 weak,False,0.010307094952347336,0.975609756097561,0.058944779618883614,0.2716049382716049,0.37566137566137564,0.17987511093881176,0.5762273901808785,clean_peak_percentile,True,DONE,,1.0,0.11495715503729702,True,0.3816793893129771,3.0
14165,weak_peak_w5p0,False,True,0.09416480837828552,0.13717491075981644,141,1.5492937564849854,1.6241885423660278,0.14978957176208496,D5 weak,False,0.009954112248499824,0.975609756097561,0.0681710545127079,0.27983539094650206,0.37037037037037035,0.20250701561208903,0.5762273901808785,clean_peak_percentile,True,DONE,,1.0,0.14947392683465047,True,0.3816793893129771,5.0
14165,weak_cfar_w2p0,False,True,0.07088103771551572,0.13777325876970006,151,0.8970214128494263,0.9577144980430603,0.12138614803552628,D5 weak,False,0.010660077656194847,1.0,0.04656831315619905,0.0,0.16901408450704225,0.17593498591510884,0.5788113695090439,cfar_margin,True,DONE,,1.0,0.12798416640614446,True,0.17258883248730963,2.0
14165,weak_cfar_w3p0,False,True,0.08008161962234771,0.13903743315508021,142,1.0859731435775757,1.145847201347351,0.11974819749593735,D5 weak,False,0.010024708789269325,1.0,0.04906498685751656,0.0,0.176056338028169,0.16565693511260998,0.5788113695090439,cfar_margin,True,DONE,,1.0,0.19449694005998788,True,0.17258883248730963,3.0
14165,weak_cfar_w5p0,False,True,0.1018742997097711,0.13707006369426752,144,1.3820760250091553,1.4475071430206299,0.1308622807264328,D5 weak,False,0.01016590187080833,1.0,0.04463693712820312,0.0,0.18309859154929578,0.18293736307849612,0.5813953488372093,cfar_margin,True,DONE,,1.0,0.14867780285891202,True,0.17766497461928935,5.0
