baseline,final_train_background_det,final_train_detection,final_train_loss,final_train_magmse,final_train_target_det,final_val_background_det,final_val_detection,final_val_loss,final_val_magmse,final_val_target_det,has_nan_or_inf,initial_train_loss,initial_val_loss,lambda_rec,lr,output_max_db,output_min_db,output_std_db,split_definition_train,status,stopped_reason,temperature,tiny_final_loss,tiny_initial_loss,tiny_loss_drop_fraction,train_loss_drop_fraction,val_loss_drop_fraction,val_output_mse_db,weak_weight
weak_peak_w2p0,0.0458759181201458,1.5502581596374512,1.6309525966644287,0.16138890385627747,3.1544878482818604,0.05333685502409935,0.9740035533905029,1.0387576818466187,0.12950818240642548,3.0213232040405273,False,2.0471580028533936,1.3498739004135132,0.5,0.0003,73.73067255224078,39.583719623435,3.8034120362854824,clean_peak_percentile,DONE,,1.0,1.0519170761108398,3.6871719360351562,0.7147089708970897,0.20330888266017796,0.23047798647828427,0.12950819077483428,2.0
weak_peak_w3p0,0.04681172966957092,1.7166804075241089,1.7965677976608276,0.15977473556995392,3.153938055038452,0.05415429547429085,1.2103525400161743,1.2757396697998047,0.1307741403579712,3.0209338665008545,False,2.1528217792510986,1.5360801219940186,0.5,0.0003,73.9698091770033,39.53236258077254,3.7590723839776508,clean_peak_percentile,DONE,,1.0,1.0373897552490234,3.6871719360351562,0.7186489338589032,0.16548233812192337,0.1694836411633661,0.13077414118682296,3.0
weak_peak_w5p0,0.04717898368835449,1.9587311744689941,2.053377389907837,0.18929235637187958,3.1517748832702637,0.05422886833548546,1.5492937564849854,1.6241885423660278,0.14978957176208496,3.0202102661132812,False,2.4799182415008545,1.9312448501586914,0.5,0.0003,73.74457832774942,39.58113186777081,3.7619650364635087,clean_peak_percentile,DONE,,1.0,1.0722235441207886,3.6871719360351562,0.7092016421469733,0.1719979491480629,0.15899398140398024,0.1497895695961762,5.0
weak_cfar_w2p0,0.04611395299434662,1.5658637285232544,1.6435941457748413,0.15546078979969025,3.1532769203186035,0.053931593894958496,0.8970214128494263,0.9577144980430603,0.12138614803552628,3.0216996669769287,False,2.051506757736206,1.2498118877410889,0.5,0.0003,73.77322754749616,39.5152680875438,3.7778804989292594,cfar_margin,DONE,,1.0,1.212403655052185,3.845778226852417,0.6847442614899615,0.19883561700351776,0.2337130831952364,0.12138614265031582,2.0
weak_cfar_w3p0,0.04643853008747101,1.7412192821502686,1.817578673362732,0.1527186930179596,3.1512467861175537,0.05329340323805809,1.0859731435775757,1.145847201347351,0.11974819749593735,3.0208539962768555,False,2.265313148498535,1.4490509033203125,0.5,0.0003,73.85463328620335,39.50628984494364,3.7645433379852826,cfar_margin,DONE,,1.0,1.329856038093567,3.9866766929626465,0.6664249096393864,0.19764793906421488,0.20924296122255567,0.11974819954239724,3.0
weak_cfar_w5p0,0.04690244048833847,1.9961177110671997,2.0836801528930664,0.1751246452331543,3.148590564727783,0.05373932421207428,1.3820760250091553,1.4475071430206299,0.1308622807264328,3.02122163772583,False,2.5559098720550537,1.7446216344833374,0.5,0.0003,73.95022244132952,39.511745963431395,3.7797996869835093,cfar_margin,DONE,,1.0,1.6072213649749756,4.2260212898254395,0.6196845082525925,0.18475992613240924,0.17030311076630478,0.13086227397158265,5.0
