all_targets_weak_pd_delta,all_vs_non_overlap_consistency,balanced_mild_clean_mse_db_to_clean,balanced_mild_false_alarm_count,balanced_mild_measured_pfa,balanced_mild_overall_pd,balanced_mild_weak_hits,balanced_mild_weak_pd,baseline,clean_no_harm_pass,default_mask_weak_pd_delta,default_vs_narrow_mask_consistency,false_alarm_count_delta,false_alarm_not_increased,mask_name,measured_pfa_delta,meets_min_hit_delta_bar,meets_min_weak_pd_gain_bar,mid_n,narrow_mask_weak_pd_delta,non_overlap_only_weak_pd_delta,non_overlap_weak_hit_delta,overall_pd_delta,pfa_1e3_balanced_weak_pd,pfa_1e3_not_reversed,pfa_1e3_weak_hit_delta,pfa_1e3_weak_pd_delta,pfa_1e3_weak_weighting_weak_pd,pfa_not_increased,seed,split_definition,strong_n,target_pfa,target_scope,weak_hit_delta,weak_n,weak_pd_delta,weak_weighting,weak_weighting_clean_measured_pfa,weak_weighting_clean_mse_db_to_clean,weak_weighting_false_alarm_count,weak_weighting_measured_pfa,weak_weighting_overall_pd,weak_weighting_weak_hits,weak_weighting_weak_pd
0.0,True,0.8139097581813453,29091,0.00978663579726717,1.0,62,1.0,balanced_mild,True,0.0,True,-57,True,default,-1.9175629591429086e-05,False,False,86,0.0,0.0,0,0.0,0.5967741935483871,True,0,0.0,0.5967741935483871,True,42,frozen_clean_peak_overlap_aware,87,0.01,all,0,62,0.0,weak_weighting_w2p0,0.009884196017995487,0.8962042099246564,29034,0.009767460167675742,1.0,62,1.0
0.0,True,1.2868024740843644,29028,0.009765441680350328,1.0,62,1.0,balanced_mild,True,0.0,True,-26,True,default,-8.746778410125e-06,False,False,86,0.0,0.0,0,0.0,0.6129032258064516,False,-2,-0.032258064516129004,0.5806451612903226,True,200,frozen_clean_peak_overlap_aware,87,0.01,all,0,62,0.0,weak_weighting_w2p0,0.009817249521702608,1.4132218786043529,29002,0.009756694901940203,1.0,62,1.0
