alpha,baseline,family,final_train_background_det,final_train_det,final_train_detection,final_train_loss,final_train_magmse,final_train_target_det,final_val_background_det,final_val_det,final_val_detection,final_val_loss,final_val_magmse,final_val_target_det,gamma,has_nan_or_inf,initial_train_loss,initial_val_loss,inverse_frequency_ratio,lambda_rec,lr,method,output_max_db,output_min_db,output_std_db,pos_weight,seed,split_definition_train,split_mode,status,stopped_reason,temperature,tiny_final_loss,tiny_initial_loss,tiny_loss_drop_fraction,train_background_cells,train_loss_drop_fraction,train_target_cells,val_loss_drop_fraction,val_output_mse_db,weak_weight
,balanced_mild_seed0,balanced,0.0459958091378212,1.467569351196289,,1.5552663803100586,0.17539404332637787,3.1524009704589844,0.05410325527191162,0.7552688717842102,,0.8196868300437927,0.12883594632148743,3.023177146911621,,False,2.0248756408691406,1.1142754554748535,1.4046706673414793,0.5,0.0003,balanced_mild,73.61152900672232,39.550822141810386,3.776896403049913,1.185188030373864,0,,original,DONE,,1.0,1.1576333045959473,3.7766740322113037,0.6934780987920913,38856,0.23192005033825727,27662,0.26437684145660423,0.1288359406145716,
,weak_peak_w2p0_seed0,,0.0469404011964798,,1.5509624481201172,1.6278042793273926,0.15368375182151794,3.1545252799987793,0.054995447397232056,,0.975584864616394,1.0382792949676514,0.12538883090019226,3.0227160453796387,,False,2.082878589630127,1.336969017982483,,0.5,0.0003,weak_peak_w2p0,73.71048070176244,39.60864857363333,3.7826185503504095,,0,clean_peak_percentile,original,DONE,,1.0,1.0464259386062622,3.6871719360351562,0.7161982254259909,,0.21848335883252104,,0.22340811118088677,0.1253888190955697,2.0
,balanced_mild_seed1,balanced,0.04596664756536484,1.4679968357086182,,1.5448063611984253,0.15361915528774261,3.1533701419830322,0.053746405988931656,0.7549198865890503,,0.8186744451522827,0.12750913202762604,3.0228538513183594,,False,2.042933940887451,1.1811174154281616,1.4046706673414793,0.5,0.0003,balanced_mild,73.94497574002412,39.56016048704424,3.7737116095668064,1.185188030373864,1,,original,DONE,,1.0,1.1571526527404785,3.7766740322113037,0.6936053673493905,38856,0.24382950898189057,27662,0.30686447049338555,0.12750911613127816,
,weak_peak_w2p0_seed1,,0.04606816545128822,,1.5506855249404907,1.6305567026138306,0.15974242985248566,3.1550443172454834,0.054041359573602676,,0.9747966527938843,1.0385091304779053,0.12742502987384796,3.0222556591033936,,False,2.0953562259674072,1.4035307168960571,,0.5,0.0003,weak_peak_w2p0,73.85997490747809,39.56399228755663,3.7643505102328656,,1,clean_peak_percentile,original,DONE,,1.0,1.041481852531433,3.6871719360351562,0.7175391138251757,,0.22182362960216126,,0.26007381386380063,0.1274250302091342,2.0
,balanced_mild_seed2,balanced,0.04635462537407875,1.467713475227356,,1.5454939603805542,0.1555609107017517,3.1522908210754395,0.05420350283384323,0.755161464214325,,0.8167586922645569,0.12319445610046387,3.022397994995117,,False,2.023437261581421,1.094908595085144,1.4046706673414793,0.5,0.0003,balanced_mild,73.68347834348378,39.51003147148515,3.767052113388133,1.185188030373864,2,,original,DONE,,1.0,1.1416444778442383,3.7766740322113037,0.6977116721996293,38856,0.23620366703503784,27662,0.25403938198051795,0.12319444755867634,
,weak_peak_w2p0_seed2,,0.045733898878097534,,1.5499966144561768,1.6309254169464111,0.1618575155735016,3.15380859375,0.053074270486831665,,0.9740883708000183,1.0388741493225098,0.12957163155078888,3.02219557762146,,False,2.1655592918395996,1.3894436359405518,,0.5,0.0003,weak_peak_w2p0,73.78339347621272,39.631734296676996,3.7760354805104765,,2,clean_peak_percentile,original,DONE,,1.0,1.1134690046310425,3.6871719360351562,0.698015437319594,,0.24688027564418594,,0.25230925353854466,0.12957163813078948,2.0
,balanced_mild_alt_split,balanced,0.07417239248752594,1.2847779989242554,,1.3381978273391724,0.10683955997228622,2.7239511013031006,0.0741264596581459,1.2318453788757324,,1.2925374507904053,0.12138424068689346,2.725939989089966,,False,1.7824883460998535,1.7094138860702515,1.4132553606237817,0.5,0.0003,balanced_mild,76.54951117426572,39.67437151750437,4.483364522352256,1.1888041725295977,0,,alternate,DONE,,1.0,0.9312235116958618,3.864729404449463,0.7590456111561797,66700,0.24925297252731232,47196,0.24387097746011518,0.12138422304850875,
,weak_peak_w2p0_alt_split,,0.07338319718837738,,1.3504939079284668,1.4104344844818115,0.11988114565610886,2.726022958755493,0.07343526929616928,,1.2994221448898315,1.3665484189987183,0.13425253331661224,2.7277772426605225,,False,1.8906477689743042,1.8247013092041016,,0.5,0.0003,weak_peak_w2p0,76.72147840531034,39.69657611007369,4.5107243263064865,,0,clean_peak_percentile,alternate,DONE,,1.0,0.8337359428405762,3.794278860092163,0.7802649795697081,,0.25399405027886995,,0.2510837734890542,0.13425252639380827,2.0
