balanced_weak_hits,balanced_weak_pd,d5_beats_balanced,d5_weak_hits,d5_weak_pd,mask_name,target_pfa,target_scope,weak_hit_delta,weak_pd_delta
62,0.3315508021390374,True,64,0.3422459893048128,narrow,0.01,all,2,0.010695187165775388
22,0.11764705882352941,False,22,0.11764705882352941,narrow,0.001,all,0,0.0
38,0.3140495867768595,True,42,0.34710743801652894,narrow,0.01,non_overlap_only,4,0.03305785123966942
18,0.1487603305785124,False,18,0.1487603305785124,narrow,0.001,non_overlap_only,0,0.0
90,0.46153846153846156,True,96,0.49230769230769234,default,0.01,all,6,0.03076923076923077
53,0.2717948717948718,True,55,0.28205128205128205,default,0.001,all,2,0.010256410256410275
60,0.5263157894736842,True,63,0.5526315789473685,default,0.01,non_overlap_only,3,0.026315789473684292
40,0.3508771929824561,True,41,0.35964912280701755,default,0.001,non_overlap_only,1,0.00877192982456143
