background_cell_count,clean_false_alarm_count,clean_measured_pfa,false_alarm_count,false_alarm_count_mean,false_alarm_count_std,magmse_db_to_clean,magmse_db_to_clean_mean,magmse_db_to_clean_std,mask_name,measured_pfa,measured_pfa_mean,measured_pfa_std,method,mid_hits,mid_n,mid_pd,mid_pd_mean,mid_pd_std,model_clean_magmse_db_to_clean,model_clean_mse_db_to_clean,model_clean_mse_db_to_clean_mean,model_clean_mse_db_to_clean_std,model_label,mse_db_to_clean,mse_db_to_clean_mean,mse_db_to_clean_std,n_seeds,overall_hits,overall_n,overall_pd,overall_pd_mean,overall_pd_std,row_kind,seed,split_mode,strong_hits,strong_n,strong_pd,strong_pd_mean,strong_pd_std,target_peak_abs_bias_db_mean,target_peak_abs_bias_db_mean_mean,target_peak_abs_bias_db_mean_std,target_pfa,target_scope,weak_hits,weak_miss,weak_n,weak_pd,weak_pd_mean,weak_pd_std
,,,,21.0,4.58257569495584,,0.1786132407254449,0.006449563058436216,default,,0.0014825273561595482,0.00032351399187828024,balanced_mild,,,,1.0,0.0,,,0.04271955269388125,0.0008347257129071028,,,0.1786132407254449,0.006449563058436216,3,,,,0.28078817733990147,0.0049261083743842304,aggregate,mean_std,original,,,,,,,0.12622026603182657,0.014779654068015803,0.001,non_overlap_only,,,,,0.22751322751322753,0.005291005291005291
,,,,148.66666666666666,2.081665999466133,,0.1786132407254449,0.006449563058436216,default,,0.01049535239439934,0.00014695841859979807,balanced_mild,,,,1.0,0.0,,,0.04271955269388125,0.0008347257129071028,,,0.1786132407254449,0.006449563058436216,3,,,,0.4154351395730706,0.0028440899960080054,aggregate,mean_std,original,,,,,,,0.12622026603182657,0.014779654068015803,0.01,non_overlap_only,,,,,0.37213403880070545,0.0030547633290456387
,,,,20.666666666666668,4.509249752822894,,0.1786132407254449,0.006449563058436216,narrow,,0.0013724708903351485,0.0002994587430484057,balanced_mild,,,,0.7280701754385964,0.015193428136569083,,,0.04271955269388125,0.0008347257129071028,,,0.1786132407254449,0.006449563058436216,3,,,,0.3850129198966408,0.006836566695257349,aggregate,mean_std,original,,,,1.0,0.0,,0.11508497659623661,0.00932610441831807,0.001,all,,,,,0.14814814814814814,0.004115226337448555
,,,,157.66666666666666,2.081665999466133,,0.1786132407254449,0.006449563058436216,narrow,,0.010470624695621376,0.0001382431929516626,balanced_mild,,,,0.7719298245614036,1.3597399555105182e-16,,,0.04271955269388125,0.0008347257129071028,,,0.1786132407254449,0.006449563058436216,3,,,,0.47372954349698543,0.00394709362183966,aggregate,mean_std,original,,,,1.0,0.0,,0.11508497659623661,0.00932610441831807,0.01,all,,,,,0.26886145404663925,0.006286112064411304
,,,,20.666666666666668,4.509249752822894,,0.1786132407254449,0.006449563058436216,narrow,,0.0013724708903351485,0.0002994587430484057,balanced_mild,,,,0.7794117647058824,0.0,,,0.04271955269388125,0.0008347257129071028,,,0.1786132407254449,0.006449563058436216,3,,,,0.3174061433447099,0.0034129692832764458,aggregate,mean_std,original,,,,1.0,0.0,,0.11508497659623661,0.00932610441831807,0.001,non_overlap_only,,,,,0.14746543778801843,0.004608294930875584
,,,,157.66666666666666,2.081665999466133,,0.1786132407254449,0.006449563058436216,narrow,,0.010470624695621376,0.0001382431929516626,balanced_mild,,,,0.7941176470588235,0.0,,,0.04271955269388125,0.0008347257129071028,,,0.1786132407254449,0.006449563058436216,3,,,,0.41410693970420925,0.005213396695057831,aggregate,mean_std,original,,,,1.0,0.0,,0.11508497659623661,0.00932610441831807,0.01,non_overlap_only,,,,,0.27342549923195086,0.007039286781806205
,,,,22.333333333333332,1.1547005383792515,,0.17759615012251587,0.0036331401073491135,default,,0.0015766560771855512,8.1517863634257e-05,weak_peak_w2p0,,,,0.9390243902439025,0.021122570824010655,,,0.0448343027814366,0.010778598909243091,,,0.17759615012251587,0.0036331401073491135,3,,,,0.4720068906115418,0.011651808146829177,aggregate,mean_std,original,,,,1.0,0.0,,0.11349366585386395,0.010777839266341743,0.001,all,,,,,0.23918575063613232,0.01226927577734473
,,,,148.33333333333334,2.5166114784235836,,0.17759615012251587,0.0036331401073491135,default,,0.01047182021414284,0.00017766406483752796,weak_peak_w2p0,,,,0.975609756097561,0.0,,,0.0448343027814366,0.010778598909243091,,,0.17759615012251587,0.0036331401073491135,3,,,,0.5676141257536607,0.01165180814682915,aggregate,mean_std,original,,,,1.0,0.0,,0.11349366585386395,0.010777839266341743,0.01,all,,,,,0.3689567430025445,0.017210876919171354
,,,,22.333333333333332,1.1547005383792515,,0.17759615012251587,0.0036331401073491135,default,,0.0015766560771855512,8.1517863634257e-05,weak_peak_w2p0,,,,1.0,0.0,,,0.0448343027814366,0.010778598909243091,,,0.17759615012251587,0.0036331401073491135,3,,,,0.28078817733990147,0.013033257689973337,aggregate,mean_std,original,,,,,,,0.11349366585386395,0.010777839266341743,0.001,non_overlap_only,,,,,0.22751322751322753,0.013998684185526933
,,,,148.33333333333334,2.5166114784235836,,0.17759615012251587,0.0036331401073491135,default,,0.01047182021414284,0.00017766406483752796,weak_peak_w2p0,,,,1.0,0.0,,,0.0448343027814366,0.010778598909243091,,,0.17759615012251587,0.0036331401073491135,3,,,,0.41050903119868637,0.015049509671447732,aggregate,mean_std,original,,,,,,,0.11349366585386395,0.010777839266341743,0.01,non_overlap_only,,,,,0.36684303350970016,0.016164288165629065
,,,,22.0,1.0,,0.17759615012251587,0.0036331401073491135,narrow,,0.001461017399389029,6.640988179041046e-05,weak_peak_w2p0,,,,0.7280701754385964,0.015193428136569083,,,0.0448343027814366,0.010778598909243091,,,0.17759615012251587,0.0036331401073491135,3,,,,0.3850129198966408,0.01033591731266148,aggregate,mean_std,original,,,,1.0,0.0,,0.11117703421419652,0.0047269813184862034,0.001,all,,,,,0.14814814814814817,0.01088786547763207
,,,,157.33333333333334,3.0550504633038935,,0.17759615012251587,0.0036331401073491135,narrow,,0.010448488068357907,0.00020288554013175058,weak_peak_w2p0,,,,0.7719298245614036,1.3597399555105182e-16,,,0.0448343027814366,0.010778598909243091,,,0.17759615012251587,0.0036331401073491135,3,,,,0.4694229112833764,0.013259952039914433,aggregate,mean_std,original,,,,1.0,0.0,,0.11117703421419652,0.0047269813184862034,0.01,all,,,,,0.262002743484225,0.02111770139690076
,,,,22.0,1.0,,0.17759615012251587,0.0036331401073491135,narrow,,0.001461017399389029,6.640988179041046e-05,weak_peak_w2p0,,,,0.7794117647058824,0.0,,,0.0448343027814366,0.010778598909243091,,,0.17759615012251587,0.0036331401073491135,3,,,,0.3174061433447099,0.009029867955851832,aggregate,mean_std,original,,,,1.0,0.0,,0.11117703421419652,0.0047269813184862034,0.001,non_overlap_only,,,,,0.14746543778801843,0.012192402355136356
,,,,157.33333333333334,3.0550504633038935,,0.17759615012251587,0.0036331401073491135,narrow,,0.010448488068357907,0.00020288554013175058,weak_peak_w2p0,,,,0.7941176470588235,0.0,,,0.0448343027814366,0.010778598909243091,,,0.17759615012251587,0.0036331401073491135,3,,,,0.4106939704209329,0.013793351141049086,aggregate,mean_std,original,,,,1.0,0.0,,0.11117703421419652,0.0047269813184862034,0.01,non_overlap_only,,,,,0.26881720430107525,0.0186242022319234
