background_cell_count,balanced_false_alarm_count,balanced_measured_pfa,balanced_mid_hits,balanced_mid_pd,balanced_overall_hits,balanced_strong_hits,balanced_strong_pd,balanced_weak_hits,balanced_weak_miss,balanced_weak_pd,d5_false_alarm_count,d5_measured_pfa,d5_mid_hits,d5_mid_pd,d5_overall_hits,d5_strong_hits,d5_strong_pd,d5_weak_hits,d5_weak_miss,d5_weak_pd,mask_name,mid_hit_delta,mid_n,overall_hit_delta,overall_n,statistically_weak_signal,strong_hit_delta,strong_n,target_pfa,target_scope,weak_hit_delta,weak_n,weak_pd_delta
15058,160,0.010625581086465666,88,0.7719298245614035,184,30,1.0,66,177,0.2716049382716049,158,0.010492761322884845,88,0.7719298245614035,184,30,1.0,66,177,0.2716049382716049,narrow,0,114,0,387,True,0,30,0.01,all,0,243,0.0
15058,20,0.0013281976358082083,82,0.7192982456140351,148,30,1.0,36,207,0.14814814814814814,17,0.001128967990436977,85,0.7456140350877193,151,30,1.0,36,207,0.14814814814814814,narrow,3,114,3,387,True,0,30,0.001,all,0,243,0.0
15058,160,0.010625581086465666,54,0.7941176470588235,122,8,1.0,60,157,0.2764976958525346,158,0.010492761322884845,54,0.7941176470588235,122,8,1.0,60,157,0.2764976958525346,narrow,0,68,0,293,True,0,8,0.01,non_overlap_only,0,217,0.0
15058,20,0.0013281976358082083,53,0.7794117647058824,93,8,1.0,32,185,0.14746543778801843,17,0.001128967990436977,53,0.7794117647058824,93,8,1.0,32,185,0.14746543778801843,narrow,0,68,0,293,True,0,8,0.001,non_overlap_only,0,217,0.0
14165,150,0.010589481115425344,80,0.975609756097561,223,43,1.0,100,162,0.3816793893129771,149,0.010518884574655841,80,0.975609756097561,224,43,1.0,101,161,0.38549618320610685,default,0,82,1,387,True,0,43,0.01,all,1,262,0.003816793893129722
14165,22,0.0015531238969290506,76,0.926829268292683,181,43,1.0,62,200,0.2366412213740458,17,0.001200141193081539,79,0.9634146341463414,185,43,1.0,63,199,0.24045801526717558,default,3,82,4,387,True,0,43,0.001,all,1,262,0.0038167938931297773
14165,150,0.010589481115425344,14,1.0,85,0,,71,118,0.37566137566137564,149,0.010518884574655841,14,1.0,86,0,,72,117,0.38095238095238093,default,0,14,1,203,True,0,0,0.01,non_overlap_only,1,189,0.005291005291005291
14165,22,0.0015531238969290506,14,1.0,57,0,,43,146,0.2275132275132275,17,0.001200141193081539,14,1.0,57,0,,43,146,0.2275132275132275,default,0,14,0,203,True,0,0,0.001,non_overlap_only,0,189,0.0
