alpha,background_det_term,baseline,det_term,detection_term,epoch,family,gamma,grad_norm_before_clip,lambda_rec,lr,magmse_term,pos_weight,split_definition_train,stage,step,target_det_term,temperature,train_loss,val_background_det_term,val_det_term,val_detection_term,val_loss,val_magmse_term,val_target_det_term,weak_weight
,0.08991044014692307,balanced_mild_seed0,0.7764540314674377,,,balanced,,4.24134635925293,0.5,0.0003,13.558204650878906,1.185188030373864,,tiny_batch,1,3.2449328899383545,1.0,7.555556297302246,,,,,,,
,0.06950078904628754,balanced_mild_seed0,0.7560538649559021,,,balanced,,3.669335126876831,0.5,0.0003,5.53096866607666,1.185188030373864,,tiny_batch,10,3.295445680618286,1.0,3.521538257598877,,,,,,,
,0.04723670333623886,balanced_mild_seed0,0.6167212128639221,,,balanced,,7.730072498321533,0.5,0.0003,7.763593673706055,1.185188030373864,,tiny_batch,20,3.2696306705474854,1.0,4.498517990112305,,,,,,,
,0.05306395888328552,balanced_mild_seed0,0.7901555299758911,,,balanced,,5.656569480895996,0.5,0.0003,2.6952643394470215,1.185188030373864,,tiny_batch,30,3.231520414352417,1.0,2.1377878189086914,,,,,,,
,0.05032694712281227,balanced_mild_seed0,0.7607679963111877,,,balanced,,4.545888423919678,0.5,0.0003,2.230111598968506,1.185188030373864,,tiny_batch,40,3.335606098175049,1.0,1.875823736190796,,,,,,,
,0.0474255308508873,balanced_mild_seed0,0.739449679851532,,,balanced,,5.3244853019714355,0.5,0.0003,1.8342177867889404,1.185188030373864,,tiny_batch,50,3.107107400894165,1.0,1.6565585136413574,,,,,,,
,0.06440065801143646,balanced_mild_seed0,0.8555977940559387,,,balanced,,6.602728366851807,0.5,0.0003,1.8429484367370605,1.185188030373864,,tiny_batch,60,3.1888551712036133,1.0,1.7770719528198242,,,,,,,
,0.04781991243362427,balanced_mild_seed0,0.8078190684318542,,,balanced,,6.249999046325684,0.5,0.0003,1.548393726348877,1.185188030373864,,tiny_batch,70,3.1163110733032227,1.0,1.5820159912109375,,,,,,,
,0.05182496830821037,balanced_mild_seed0,0.9082086682319641,,,balanced,,5.414562225341797,0.5,0.0003,0.9637899398803711,1.185188030373864,,tiny_batch,80,3.153343439102173,1.0,1.3901035785675049,,,,,,,
,0.05089259892702103,balanced_mild_seed0,0.6434252262115479,,,balanced,,3.507751703262329,0.5,0.0003,0.915265679359436,1.185188030373864,,tiny_batch,90,3.130180597305298,1.0,1.101058006286621,,,,,,,
,0.04722849279642105,balanced_mild_seed0,0.7179126143455505,,,balanced,,4.142765998840332,0.5,0.0003,1.6582739353179932,1.185188030373864,,tiny_batch,100,3.1986093521118164,1.0,1.5470495223999023,,,,,,,
,0.04951071739196777,balanced_mild_seed0,0.7484598159790039,,,balanced,,1.6253970861434937,0.5,0.0003,0.659022331237793,1.185188030373864,,tiny_batch,110,3.0757007598876953,1.0,1.0779709815979004,,,,,,,
,0.05393718183040619,balanced_mild_seed0,0.8290225267410278,,,balanced,,3.90968918800354,0.5,0.0003,1.045852780342102,1.185188030373864,,tiny_batch,120,3.202958106994629,1.0,1.3519489765167236,,,,,,,
,0.04964423030614853,balanced_mild_seed0,1.4690517167250314,,1,balanced,,2.292579661011696,0.5,0.0003,0.6847840525706609,1.185188030373864,,small_subset,,3.1537126366297406,1.0,1.8114437409241995,0.05522202327847481,0.7565728425979614,,0.983360767364502,0.45357581973075867,3.025080442428589,
,0.04861817429463069,balanced_mild_seed0,1.4657064962387085,,2,balanced,,2.032639771302541,0.5,0.0003,0.5526838008562723,1.185188030373864,,small_subset,,3.1485673252741497,1.0,1.7420483938852946,0.0548335500061512,0.7561203837394714,,0.9493461847305298,0.3864515423774719,3.024420738220215,
,0.047440253992875416,balanced_mild_seed0,1.4649910700321198,,3,balanced,,1.8409069140752157,0.5,0.0003,0.41816804513335226,1.185188030373864,,small_subset,,3.1467905759811403,1.0,1.6740750912825266,0.05471789091825485,0.755706250667572,,0.8835102915763855,0.25560808181762695,3.023041248321533,
,0.046524349873264634,balanced_mild_seed0,1.4642624362309773,,4,balanced,,1.5978469091653824,0.5,0.0003,0.2834225247303645,1.185188030373864,,small_subset,,3.1452802356084186,1.0,1.6059736931324005,0.053660012781620026,0.7551698088645935,,0.8505598306655884,0.19078008830547333,3.024191379547119,
,0.04638427242636681,balanced_mild_seed0,1.463492870728175,,5,balanced,,1.48226180434227,0.5,0.0003,0.24886492709318797,1.185188030373864,,small_subset,,3.1448480081558228,1.0,1.5879253347714741,0.05460601672530174,0.7557567954063416,,0.8451584577560425,0.17880336940288544,3.0236170291900635,
,0.04629198648035526,balanced_mild_seed0,1.4624791252613067,,6,balanced,,1.3981484788656235,0.5,0.0003,0.2275765206416448,1.185188030373864,,small_subset,,3.1435621722539264,1.0,1.576267387866974,0.054087523370981216,0.7551944851875305,,0.8374321460723877,0.16447530686855316,3.0229129791259766,
,0.04611999469498793,balanced_mild_seed0,1.4630813912550609,,7,balanced,,1.325421906709671,0.5,0.0003,0.20678007433811824,1.185188030373864,,small_subset,,3.145150680541992,1.0,1.5664714288711548,0.05375104770064354,0.754875123500824,,0.8269079327583313,0.14406563341617584,3.022649049758911,
,0.04597855351865292,balanced_mild_seed0,1.463265402317047,,8,balanced,,1.300090694030126,0.5,0.0003,0.18728666509191194,1.185188030373864,,small_subset,,3.1453668721516927,1.0,1.5569087326526643,0.05410325527191162,0.7552688717842102,,0.8196868300437927,0.12883594632148743,3.023177146911621,
,0.04112735018134117,weak_peak_w2p0_seed0,,0.627171516418457,,,,2.0895168781280518,0.5,0.0003,5.225832939147949,,clean_peak_percentile,tiny_batch,1,3.212660074234009,1.0,3.2400879859924316,,,,,,,2.0
,0.05175311490893364,weak_peak_w2p0_seed0,,0.7228744029998779,,,,2.062751531600952,0.5,0.0003,3.175194025039673,,clean_peak_percentile,tiny_batch,10,3.1590447425842285,1.0,2.310471534729004,,,,,,,2.0
,0.08180993050336838,weak_peak_w2p0_seed0,,0.70709228515625,,,,4.615316867828369,0.5,0.0003,4.296347618103027,,clean_peak_percentile,tiny_batch,20,3.1947743892669678,1.0,2.8552660942077637,,,,,,,2.0
,0.05294419080018997,weak_peak_w2p0_seed0,,0.6330068111419678,,,,10.385700225830078,0.5,0.0003,4.56765079498291,,clean_peak_percentile,tiny_batch,30,3.229477643966675,1.0,2.916832208633423,,,,,,,2.0
,0.04885387420654297,weak_peak_w2p0_seed0,,0.6071671843528748,,,,4.175751209259033,0.5,0.0003,1.9845926761627197,,clean_peak_percentile,tiny_batch,40,3.143120288848877,1.0,1.5994634628295898,,,,,,,2.0
,0.05355542153120041,weak_peak_w2p0_seed0,,0.7290536165237427,,,,4.135765552520752,0.5,0.0003,1.685701847076416,,clean_peak_percentile,tiny_batch,50,3.1197876930236816,1.0,1.5719045400619507,,,,,,,2.0
,0.04673071950674057,weak_peak_w2p0_seed0,,0.6531763672828674,,,,3.801525831222534,0.5,0.0003,1.6089482307434082,,clean_peak_percentile,tiny_batch,60,3.1122803688049316,1.0,1.4576504230499268,,,,,,,2.0
,0.058813802897930145,weak_peak_w2p0_seed0,,0.8058211803436279,,,,2.6237471103668213,0.5,0.0003,1.3170956373214722,,clean_peak_percentile,tiny_batch,70,3.203035593032837,1.0,1.4643690586090088,,,,,,,2.0
,0.04717320576310158,weak_peak_w2p0_seed0,,0.5527764558792114,,,,4.868518829345703,0.5,0.0003,0.9204504489898682,,clean_peak_percentile,tiny_batch,80,3.067660331726074,1.0,1.0130016803741455,,,,,,,2.0
,0.04855908453464508,weak_peak_w2p0_seed0,,0.7394614815711975,,,,2.1836097240448,0.5,0.0003,0.5805248022079468,,clean_peak_percentile,tiny_batch,90,3.247437000274658,1.0,1.029723882675171,,,,,,,2.0
,0.05111930891871452,weak_peak_w2p0_seed0,,0.7154180407524109,,,,1.946743369102478,0.5,0.0003,0.5980715155601501,,clean_peak_percentile,tiny_batch,100,3.1377601623535156,1.0,1.0144537687301636,,,,,,,2.0
,0.05314525589346886,weak_peak_w2p0_seed0,,0.7831631898880005,,,,3.0361642837524414,0.5,0.0003,0.5173274278640747,,clean_peak_percentile,tiny_batch,110,3.2418081760406494,1.0,1.0418269634246826,,,,,,,2.0
