background_cell_count,balanced_mild_false_alarm_count,balanced_mild_measured_pfa,balanced_mild_mid_pd,balanced_mild_overall_pd,balanced_mild_saturated,balanced_mild_strong_pd,balanced_mild_weak_hits,balanced_mild_weak_pd,doppler_radius_bins,false_alarm_count_delta,mask_name,measured_pfa_delta,n_seeds,overall_pd_delta,range_mask_name,seed,target_mask_area_per_frame_mean,target_mask_cell_count_test,target_pfa,weak_hit_delta,weak_n,weak_pd_delta,weak_weighting_false_alarm_count,weak_weighting_improves,weak_weighting_measured_pfa,weak_weighting_mid_pd,weak_weighting_overall_pd,weak_weighting_strong_pd,weak_weighting_weak_hits,weak_weighting_weak_pd
2949953,27894,0.00945574387117354,1.0,1.0,True,1.0,62,1.0,3,-22,wide_doppler_r3_clean_peak,-7.457745936969087e-06,,0.0,wide,200,214.60416666666666,20602,0.01,0,62,0.0,27872,False,0.009448286125236571,1.0,1.0,1.0,62,1.0
2932024,27381,0.009338600229738911,1.0,1.0,True,1.0,62,1.0,5,26,wide_doppler_r5_clean_peak,8.86759453537847e-06,,0.0,wide,42,334.7708333333333,32138,0.01,0,62,0.0,27407,False,0.00934746782427429,1.0,1.0,1.0,62,1.0
2932024,27354,0.009329391573875249,1.0,1.0,True,1.0,62,1.0,5,-24,wide_doppler_r5_clean_peak,-8.185471878812897e-06,,0.0,wide,200,334.7708333333333,32138,0.01,0,62,0.0,27330,False,0.009321206101996436,1.0,1.0,1.0,62,1.0
2987468.0,29053.5,0.009725125089205977,,,,,,1.0,1,-61.0,narrow_doppler_r1_clean_peak,-2.0418628751839134e-05,2,,narrow,mean,46.96875,4509.0,,0.0,62.0,0.0,28992.5,,0.009704706460454137,,,,,1.0
2982418.0,29091.5,0.009754333564242169,,,,,,1.0,2,-69.0,narrow_doppler_r2_clean_peak,-2.3135589981015947e-05,2,,narrow,mean,77.95833333333333,7484.0,,0.0,62.0,0.0,29022.5,,0.009731197974261153,,,,,1.0
2977368.0,29022.5,0.00974770334066867,,,,,,1.0,3,-51.0,narrow_doppler_r3_clean_peak,-1.7129222857235546e-05,2,,narrow,mean,108.89583333333333,10454.0,,0.0,62.0,0.0,28971.5,,0.009730574117811436,,,,,1.0
2967339.0,28892.5,0.009736838291816338,,,,,,1.0,5,-58.5,narrow_doppler_r5_clean_peak,-1.9714633211776085e-05,2,,narrow,mean,170.47916666666666,16366.0,,0.0,62.0,0.0,28834.0,,0.009717123658604561,,,,,1.0
2979365.0,29054.5,0.009751910222480294,,,,,,1.0,1,-65.5,default_doppler_r1_clean_peak,-2.1984550399162077e-05,2,,default,mean,69.61458333333333,6683.0,,0.0,62.0,0.0,28989.0,,0.00972992567208113,,,,,1.0
2972523.0,29060.0,0.009776206946085867,,,,,,1.0,2,-42.5,default_doppler_r2_clean_peak,-1.429761855501182e-05,2,,default,mean,115.27083333333333,11066.0,,0.0,62.0,0.0,29017.5,,0.009761909327530856,,,,,1.0
2965681.0,29111.5,0.009816126549011846,,,,,,1.0,3,-76.0,default_doppler_r3_clean_peak,-2.562649185802561e-05,2,,default,mean,160.66666666666666,15424.0,,0.0,62.0,0.0,29035.5,,0.00979050005715382,,,,,1.0
2952161.0,28977.5,0.009815690946394862,,,,,,1.0,5,-78.0,default_doppler_r5_clean_peak,-2.642132322729085e-05,2,,default,mean,250.79166666666666,24076.0,,0.0,62.0,0.0,28899.5,,0.009789269623167571,,,,,1.0
2968311.0,28234.0,0.009511806545877436,,,,,,1.0,1,-0.5,wide_doppler_r1_clean_peak,-1.6844596135556084e-07,2,,wide,mean,92.29166666666667,8860.0,,0.0,62.0,0.0,28233.5,,0.009511638099916082,,,,,1.0
2959071.0,28113.5,0.009500785888544073,,,,,,1.0,2,-52.0,wide_doppler_r2_clean_peak,-1.7573082903384572e-05,2,,wide,mean,153.52083333333334,14738.0,,0.0,62.0,0.0,28061.5,,0.009483212805640689,,,,,1.0
2949953.0,27929.5,0.009467777961208197,,,,,,1.0,3,-20.0,wide_doppler_r3_clean_peak,-6.7797690336086555e-06,2,,wide,mean,214.60416666666666,20602.0,,0.0,62.0,0.0,27909.5,,0.009460998192174587,,,,,1.0
2932024.0,27367.5,0.00933399590180708,,,,,,1.0,5,1.0,wide_doppler_r5_clean_peak,3.410613282827865e-07,2,,wide,mean,334.7708333333333,32138.0,,0.0,62.0,0.0,27368.5,,0.009334336963135362,,,,,1.0
