alpha,baseline,definition,family,final_train_background_det,final_train_det,final_train_detection,final_train_loss,final_train_magmse,final_train_target_det,final_val_background_det,final_val_det,final_val_detection,final_val_loss,final_val_magmse,final_val_target_det,gamma,has_nan_or_inf,initial_train_loss,initial_val_loss,inverse_frequency_ratio,lambda_rec,lr,output_max_db,output_min_db,output_std_db,pos_weight,split_definition_train,status,stopped_reason,temperature,tiny_final_loss,tiny_initial_loss,tiny_loss_drop_fraction,train_background_cells,train_loss_drop_fraction,train_target_cells,val_loss_drop_fraction,val_output_mse_db,weak_weight
,balanced_mild,baseline,balanced,0.04736738279461861,1.4686025381088257,,1.5505659580230713,0.16392675042152405,3.15303373336792,0.05504143238067627,0.7559147477149963,,0.8278543949127197,0.1438792496919632,3.0228776931762695,,False,1.9379092454910278,1.1548957824707031,1.4046706673414793,0.5,0.0003,73.67091416489848,39.527770468632355,3.7541064505772854,1.185188030373864,,DONE,,1.0,1.7647795677185059,3.4542911052703857,0.48910514084180895,38856,0.19987689741880116,27662,0.2831782681363109,0.14387925996582512,
,d5b_orig_peak_w2p0,clean_peak_percentile,,0.045902177691459656,,1.5501569509506226,1.627875566482544,0.15543721616268158,3.1539955139160156,0.053233712911605835,,0.9736424088478088,1.046799659729004,0.1463145762681961,3.020750045776367,,False,2.0023655891418457,1.3546092510223389,,0.5,0.0003,73.68124401648811,39.572913130608526,3.780851888757937,,clean_peak_percentile,DONE,,1.0,1.842916488647461,3.551814079284668,0.48113373968644707,,0.18702380059367532,,0.22723127799476314,0.14631458379914597,2.0
,d5b_peak_non_overlap_w2p0,clean_peak_non_overlap,,0.04608410596847534,,1.4435207843780518,1.520376205444336,0.15371073782444,3.1541357040405273,0.05363339185714722,,0.9055768847465515,0.9763472080230713,0.14154069125652313,3.021477699279785,,False,1.8932663202285767,1.2966322898864746,,0.5,0.0003,73.7666100809231,39.53316207200686,3.7631250057597656,,clean_peak_non_overlap,DONE,,1.0,1.8053514957427979,3.505606174468994,0.48501017915503286,,0.19695597539559104,,0.24701303859357504,0.14154069835863486,2.0
,d5b_peak_overlap_aware_w2p0,clean_peak_overlap_aware,,0.046601802110672,,1.4769929647445679,1.5525189638137817,0.1510520726442337,3.1556828022003174,0.05437655374407768,,0.9472700953483582,1.0176180601119995,0.1406959891319275,3.021238088607788,,False,1.9446531534194946,1.3558804988861084,,0.5,0.0003,73.52350965124515,39.52995120189246,3.783779984866307,,clean_peak_overlap_aware,DONE,,1.0,1.824403166770935,3.505606174468994,0.47957554957031545,,0.2016473677664219,,0.2494780617111909,0.14069597730085814,2.0
,d5b_isolated_only_w2p0,isolated_target_only,,0.046816807240247726,,1.4444992542266846,1.5263270139694214,0.1636555939912796,3.155032157897949,0.05466329678893089,,0.9065866470336914,0.9794983267784119,0.14582335948944092,3.0224692821502686,,False,1.890721321105957,1.2950767278671265,,0.5,0.0003,73.63843399735424,39.59389208126913,3.787506641926138,,isolated_target_only,DONE,,1.0,1.8031411170959473,3.505606174468994,0.4856407059560605,,0.19272766592772494,,0.2436754474064587,0.14582336465597484,2.0
,d5b_local_ratio_w2p0,peak_to_local_background_ratio,,0.04626188427209854,,1.565507173538208,1.641647219657898,0.1522800475358963,3.1531386375427246,0.05404624715447426,,0.9470438361167908,1.016547679901123,0.139007568359375,3.022928237915039,,False,2.0440680980682373,1.3349649906158447,,0.5,0.0003,73.63995309317625,39.52983311592817,3.784953708552041,,peak_to_local_background_ratio,DONE,,1.0,1.8595106601715088,3.546649694442749,0.4756993725415907,,0.1968725400052231,,0.2385210945253551,0.13900756336026215,2.0
,d5b_range_unique_w2p0,range_bin_unique_distance,,0.0469866618514061,,1.534551739692688,1.6198222637176514,0.1705409586429596,3.156553268432617,0.054992422461509705,,0.9610653519630432,1.0390772819519043,0.15602397918701172,3.022350549697876,,False,1.9632151126861572,1.3219252824783325,,0.5,0.0003,73.71297413047023,39.57113531377934,3.7779500845866756,,range_bin_unique_distance,DONE,,1.0,1.7945061922073364,3.505606174468994,0.4881038819258823,,0.1749135113872777,,0.2139667077069194,0.15602397652298908,2.0
