background_cell_count,background_energy_increase_db,false_alarm_count,hit_count,input_type,mask_name,measured_pfa,mse_db_to_clean,mse_power_to_clean,noise_floor_change_db,pd,protocol,sir_name,source_sequence,split_definition,target_count,target_peak_abs_bias_db_mean,target_peak_bias_db_mean,target_pfa,target_sir_db,test_frame_count,threshold_source
5675,0.38095289254461456,11,111,interfered,default,0.0019383259911894273,0.9219444800545492,7980802112.626513,0.03336673775083909,0.7025316455696202,D2A_fixed_pfa,light,2019_04_30_mlms000,cfar_margin,158,0.0026803928036797393,0.0009366636070299742,0.001,10.0,64,input_specific_validation_background
6046,0.03881825751503425,80,94,model_output,narrow,0.013231888852133642,0.09087889332135927,3213385677.4146976,0.006299889034806938,0.5949367088607594,D2A_fixed_pfa,light,2019_04_30_mlms000,clean_peak_percentile,158,0.04072279332781931,-0.009402107856340772,0.01,10.0,64,input_specific_validation_background
6046,0.03881825751503425,16,83,model_output,narrow,0.0026463777704267286,0.09087889332135927,3213385677.4146976,0.006299889034806938,0.5253164556962026,D2A_fixed_pfa,light,2019_04_30_mlms000,clean_peak_percentile,158,0.04072279332781931,-0.009402107856340772,0.001,10.0,64,input_specific_validation_background
6046,0.03881825751503425,80,94,model_output,narrow,0.013231888852133642,0.09087889332135927,3213385677.4146976,0.006299889034806938,0.5949367088607594,D2A_fixed_pfa,light,2019_04_30_mlms000,cfar_margin,158,0.04072279332781931,-0.009402107856340772,0.01,10.0,64,input_specific_validation_background
6046,0.03881825751503425,16,83,model_output,narrow,0.0026463777704267286,0.09087889332135927,3213385677.4146976,0.006299889034806938,0.5253164556962026,D2A_fixed_pfa,light,2019_04_30_mlms000,cfar_margin,158,0.04072279332781931,-0.009402107856340772,0.001,10.0,64,input_specific_validation_background
5675,0.036951609469335636,77,125,model_output,default,0.013568281938325991,0.09087889332135927,3213385677.4146976,-0.001821960410566703,0.7911392405063291,D2A_fixed_pfa,light,2019_04_30_mlms000,clean_peak_percentile,158,0.042489741042068555,-0.004727914984445683,0.01,10.0,64,input_specific_validation_background
5675,0.036951609469335636,17,113,model_output,default,0.0029955947136563878,0.09087889332135927,3213385677.4146976,-0.001821960410566703,0.7151898734177216,D2A_fixed_pfa,light,2019_04_30_mlms000,clean_peak_percentile,158,0.042489741042068555,-0.004727914984445683,0.001,10.0,64,input_specific_validation_background
5675,0.036951609469335636,77,125,model_output,default,0.013568281938325991,0.09087889332135927,3213385677.4146976,-0.001821960410566703,0.7911392405063291,D2A_fixed_pfa,light,2019_04_30_mlms000,cfar_margin,158,0.042489741042068555,-0.004727914984445683,0.01,10.0,64,input_specific_validation_background
5675,0.036951609469335636,17,113,model_output,default,0.0029955947136563878,0.09087889332135927,3213385677.4146976,-0.001821960410566703,0.7151898734177216,D2A_fixed_pfa,light,2019_04_30_mlms000,cfar_margin,158,0.042489741042068555,-0.004727914984445683,0.001,10.0,64,input_specific_validation_background
6046,2.6473616054710494,75,84,interfered,narrow,0.01240489579887529,7.27261311843804,706475033318.8259,0.3113782156949867,0.5316455696202531,D2A_fixed_pfa,medium,2019_04_30_mlms000,clean_peak_percentile,158,0.013633697969787036,0.010739268033464765,0.01,0.0,64,input_specific_validation_background
6046,2.6473616054710494,8,24,interfered,narrow,0.0013231888852133643,7.27261311843804,706475033318.8259,0.3113782156949867,0.1518987341772152,D2A_fixed_pfa,medium,2019_04_30_mlms000,clean_peak_percentile,158,0.013633697969787036,0.010739268033464765,0.001,0.0,64,input_specific_validation_background
6046,2.6473616054710494,75,84,interfered,narrow,0.01240489579887529,7.27261311843804,706475033318.8259,0.3113782156949867,0.5316455696202531,D2A_fixed_pfa,medium,2019_04_30_mlms000,cfar_margin,158,0.013633697969787036,0.010739268033464765,0.01,0.0,64,input_specific_validation_background
6046,2.6473616054710494,8,24,interfered,narrow,0.0013231888852133643,7.27261311843804,706475033318.8259,0.3113782156949867,0.1518987341772152,D2A_fixed_pfa,medium,2019_04_30_mlms000,cfar_margin,158,0.013633697969787036,0.010739268033464765,0.001,0.0,64,input_specific_validation_background
5675,2.5867440196884384,71,113,interfered,default,0.012511013215859032,7.27261311843804,706475033318.8259,0.31226579214597905,0.7151898734177216,D2A_fixed_pfa,medium,2019_04_30_mlms000,clean_peak_percentile,158,0.012238144027929875,0.009779900076414239,0.01,0.0,64,input_specific_validation_background
5675,2.5867440196884384,8,27,interfered,default,0.0014096916299559472,7.27261311843804,706475033318.8259,0.31226579214597905,0.17088607594936708,D2A_fixed_pfa,medium,2019_04_30_mlms000,clean_peak_percentile,158,0.012238144027929875,0.009779900076414239,0.001,0.0,64,input_specific_validation_background
5675,2.5867440196884384,71,113,interfered,default,0.012511013215859032,7.27261311843804,706475033318.8259,0.31226579214597905,0.7151898734177216,D2A_fixed_pfa,medium,2019_04_30_mlms000,cfar_margin,158,0.012238144027929875,0.009779900076414239,0.01,0.0,64,input_specific_validation_background
5675,2.5867440196884384,8,27,interfered,default,0.0014096916299559472,7.27261311843804,706475033318.8259,0.31226579214597905,0.17088607594936708,D2A_fixed_pfa,medium,2019_04_30_mlms000,cfar_margin,158,0.012238144027929875,0.009779900076414239,0.001,0.0,64,input_specific_validation_background
6046,0.0508795026721888,76,94,model_output,narrow,0.01257029440952696,0.13263590911707265,39034320652.5703,0.04281735528999775,0.5949367088607594,D2A_fixed_pfa,medium,2019_04_30_mlms000,clean_peak_percentile,158,0.11502568040811137,-0.07007811702138318,0.01,0.0,64,input_specific_validation_background
6046,0.0508795026721888,14,85,model_output,narrow,0.002315580549123387,0.13263590911707265,39034320652.5703,0.04281735528999775,0.5379746835443038,D2A_fixed_pfa,medium,2019_04_30_mlms000,clean_peak_percentile,158,0.11502568040811137,-0.07007811702138318,0.001,0.0,64,input_specific_validation_background
6046,0.0508795026721888,76,94,model_output,narrow,0.01257029440952696,0.13263590911707265,39034320652.5703,0.04281735528999775,0.5949367088607594,D2A_fixed_pfa,medium,2019_04_30_mlms000,cfar_margin,158,0.11502568040811137,-0.07007811702138318,0.01,0.0,64,input_specific_validation_background
6046,0.0508795026721888,14,85,model_output,narrow,0.002315580549123387,0.13263590911707265,39034320652.5703,0.04281735528999775,0.5379746835443038,D2A_fixed_pfa,medium,2019_04_30_mlms000,cfar_margin,158,0.11502568040811137,-0.07007811702138318,0.001,0.0,64,input_specific_validation_background
5675,0.04494771356642552,74,125,model_output,default,0.01303964757709251,0.13263590911707265,39034320652.5703,0.04107936924161493,0.7911392405063291,D2A_fixed_pfa,medium,2019_04_30_mlms000,clean_peak_percentile,158,0.11092943292531046,-0.04756192413174738,0.01,0.0,64,input_specific_validation_background
5675,0.04494771356642552,16,115,model_output,default,0.0028193832599118945,0.13263590911707265,39034320652.5703,0.04107936924161493,0.7278481012658228,D2A_fixed_pfa,medium,2019_04_30_mlms000,clean_peak_percentile,158,0.11092943292531046,-0.04756192413174738,0.001,0.0,64,input_specific_validation_background
5675,0.04494771356642552,74,125,model_output,default,0.01303964757709251,0.13263590911707265,39034320652.5703,0.04107936924161493,0.7911392405063291,D2A_fixed_pfa,medium,2019_04_30_mlms000,cfar_margin,158,0.11092943292531046,-0.04756192413174738,0.01,0.0,64,input_specific_validation_background
5675,0.04494771356642552,16,115,model_output,default,0.0028193832599118945,0.13263590911707265,39034320652.5703,0.04107936924161493,0.7278481012658228,D2A_fixed_pfa,medium,2019_04_30_mlms000,cfar_margin,158,0.11092943292531046,-0.04756192413174738,0.001,0.0,64,input_specific_validation_background
6046,9.167012164646898,55,33,interfered,narrow,0.009096923585841878,32.38561065079066,73728885418662.14,1.6967863834736505,0.2088607594936709,D2A_fixed_pfa,severe,2019_04_30_mlms000,clean_peak_percentile,158,0.10463448426255022,0.09773716988548715,0.01,-10.0,64,input_specific_validation_background
6046,9.167012164646898,6,0,interfered,narrow,0.0009923916639100231,32.38561065079066,73728885418662.14,1.6967863834736505,0.0,D2A_fixed_pfa,severe,2019_04_30_mlms000,clean_peak_percentile,158,0.10463448426255022,0.09773716988548715,0.001,-10.0,64,input_specific_validation_background
6046,9.167012164646898,55,33,interfered,narrow,0.009096923585841878,32.38561065079066,73728885418662.14,1.6967863834736505,0.2088607594936709,D2A_fixed_pfa,severe,2019_04_30_mlms000,cfar_margin,158,0.10463448426255022,0.09773716988548715,0.01,-10.0,64,input_specific_validation_background
6046,9.167012164646898,6,0,interfered,narrow,0.0009923916639100231,32.38561065079066,73728885418662.14,1.6967863834736505,0.0,D2A_fixed_pfa,severe,2019_04_30_mlms000,cfar_margin,158,0.10463448426255022,0.09773716988548715,0.001,-10.0,64,input_specific_validation_background
5675,8.93221484967757,54,52,interfered,default,0.009515418502202643,32.38561065079066,73728885418662.14,1.735754116987792,0.3291139240506329,D2A_fixed_pfa,severe,2019_04_30_mlms000,clean_peak_percentile,158,0.10428872650584115,0.09881345107434011,0.01,-10.0,64,input_specific_validation_background
