epoch,identity_loss,stage,step,total_loss,train_loss,val_loss
,0.0,tiny_batch,1,0.10316767543554306,0.10316767543554306,
,0.023782841861248016,tiny_batch,5,0.1456337422132492,0.14444459974765778,
,0.19299229979515076,tiny_batch,10,0.076360322535038,0.0667107105255127,
,0.09740062057971954,tiny_batch,15,0.1225627064704895,0.11769267916679382,
,0.03067367896437645,tiny_batch,20,0.04224403202533722,0.04071034863591194,
,0.0801350474357605,tiny_batch,25,0.053017258644104004,0.0490105077624321,
,0.04057927429676056,tiny_batch,30,0.023499745875597,0.021470781415700912,
,0.004664096515625715,tiny_batch,35,0.052408367395401,0.052175164222717285,
,0.009028538130223751,tiny_batch,40,0.031654100865125656,0.03120267391204834,
,0.011400764808058739,tiny_batch,45,0.02542159892618656,0.024851560592651367,
,0.006546805612742901,tiny_batch,50,0.021152112632989883,0.020824773237109184,
,0.006659978069365025,tiny_batch,55,0.026549339294433594,0.02621634118258953,
,0.008366839960217476,tiny_batch,60,0.022187314927577972,0.021768972277641296,
,0.00525929220020771,tiny_batch,65,0.019580001011490822,0.019317036494612694,
,0.003751543816179037,tiny_batch,70,0.03768441453576088,0.037496838718652725,
,0.006941607221961021,tiny_batch,75,0.05955041944980621,0.059203337877988815,
,0.005859297700226307,tiny_batch,80,0.034061942249536514,0.03376897796988487,
,0.006060161627829075,tiny_batch,85,0.05003292113542557,0.04972991347312927,
,0.0035498403012752533,tiny_batch,90,0.03153645992279053,0.03135896846652031,
,0.00371596054174006,tiny_batch,95,0.024952441453933716,0.024766642600297928,
,0.0042452625930309296,tiny_batch,100,0.012286383658647537,0.012074120342731476,
,0.00933090690523386,tiny_batch,105,0.02710137329995632,0.026634827256202698,
,0.004771590232849121,tiny_batch,110,0.011417008005082607,0.011178428307175636,
,0.004911436699330807,tiny_batch,115,0.019874000921845436,0.019628429785370827,
,0.009120001457631588,tiny_batch,120,0.016963616013526917,0.016507616266608238,
,0.007997975684702396,tiny_batch,125,0.017638815566897392,0.0172389168292284,
,0.008165674284100533,tiny_batch,130,0.006189803127199411,0.00578151922672987,
,0.005276600830256939,tiny_batch,135,0.006814675871282816,0.006550845690071583,
,0.007704304065555334,tiny_batch,140,0.011954509653151035,0.011569294147193432,
,0.010700059123337269,tiny_batch,145,0.00596154760569334,0.005426544696092606,
,0.004454116337001324,tiny_batch,150,0.006921558175235987,0.006698852404952049,
,0.010805117897689342,tiny_batch,155,0.006067678332328796,0.005527422297745943,
,0.0024028355255723,tiny_batch,160,0.010431242175400257,0.010311100631952286,
,0.004030870273709297,tiny_batch,165,0.004300752189010382,0.004099208861589432,
,0.003883384633809328,tiny_batch,170,0.0035577891394495964,0.003363619791343808,
,0.0035676206462085247,tiny_batch,175,0.013989538885653019,0.013811158016324043,
,0.005526646040380001,tiny_batch,180,0.00685195391997695,0.006575621664524078,
,0.005635430105030537,tiny_batch,185,0.005601510405540466,0.005319738760590553,
,0.003497279714792967,tiny_batch,190,0.004430570174008608,0.00425570597872138,
,0.0013188156299293041,tiny_batch,195,0.005252096336334944,0.005186155438423157,
,0.0022124475799500942,tiny_batch,200,0.004919938277453184,0.004809315782040358,
,0.00298403506167233,tiny_batch,205,0.003776957979425788,0.003627756144851446,
,0.004312141798436642,tiny_batch,210,0.005312174092978239,0.005096566863358021,
,0.003021746873855591,tiny_batch,215,0.0024013319052755833,0.0022502446081489325,
,0.003140945453196764,tiny_batch,220,0.0024839674588292837,0.002326920162886381,
,0.007345712278038263,tiny_batch,225,0.002676035976037383,0.002308750292286277,
,0.001924569602124393,tiny_batch,230,0.00470792455598712,0.004611696116626263,
,0.00503462553024292,tiny_batch,235,0.0033125365152955055,0.003060805145651102,
,0.0016921497881412506,tiny_batch,240,0.0025266692973673344,0.0024420619010925293,
,0.004822444170713425,tiny_batch,245,0.002179191680625081,0.0019380694720894098,
,0.007335936650633812,tiny_batch,250,0.003296318929642439,0.0029295221902430058,
,0.0043467991054058075,tiny_batch,255,0.0018743460532277822,0.0016570060979574919,
,0.004538956098258495,tiny_batch,260,0.002687514293938875,0.002460566582158208,
,0.006633319891989231,tiny_batch,265,0.0019501104252412915,0.0016184444539248943,
,0.0035653947852551937,tiny_batch,270,0.0027584685012698174,0.0025801986921578646,
,0.0024905153550207615,tiny_batch,275,0.0013750165235251188,0.0012504907790571451,
,0.00446601677685976,tiny_batch,280,0.00358848599717021,0.003365185111761093,
,0.004035653546452522,tiny_batch,285,0.0022035089787095785,0.0020017263013869524,
,0.0032230261713266373,tiny_batch,290,0.0018128472147509456,0.001651695929467678,
,0.001690948847681284,tiny_batch,295,0.0015427746111527085,0.0014582271687686443,
,0.00561667513102293,tiny_batch,300,0.0017008522991091013,0.001420018495991826,
1,0.02218017031918862,small_subset,,0.053889085792070544,0.052780077276111115,0.02711806818842888
2,0.004733778047011583,small_subset,,0.024216323341806855,0.023979634439456277,0.01805221661925316
3,0.004695305397035554,small_subset,,0.014441718260059133,0.014206952990207355,0.01129755936563015
4,0.0037721189164585667,small_subset,,0.011951717728607036,0.011763111782784108,0.01297218818217516
5,0.002981908808578737,small_subset,,0.010495223441830603,0.010346128001401667,0.013763289898633957
6,0.0027078646057816513,small_subset,,0.010020175951490273,0.00988478272120119,0.007673117332160473
7,0.0018541532363087754,small_subset,,0.007687334786305655,0.007594627124490216,0.009038953110575676
8,0.0016489525742144906,small_subset,,0.006976599014205931,0.006894151385495206,0.006677495315670967
9,0.0013280653056426672,small_subset,,0.007194133997745667,0.007127730732463533,0.007861074060201645
10,0.0012022404694107536,small_subset,,0.005785922267727983,0.0057258102442574454,0.007199637591838837
11,0.0016353247523284153,small_subset,,0.005841368253658175,0.005759602016041754,0.006388933397829533
12,0.000831163647944777,small_subset,,0.004250433589527347,0.004208875407130108,0.005440079607069492
13,0.000802789596718867,small_subset,,0.003790557789045579,0.0037504183092096355,0.005134911276400089
14,0.0008955150351539487,small_subset,,0.004063598358425224,0.004018822606667527,0.005136513616889715
15,0.0007613676418714022,small_subset,,0.0035986550308393815,0.0035605866487458115,0.00471901148557663
16,0.000692747268203675,small_subset,,0.003395933996057465,0.0033612966326472815,0.004137634765356779
17,0.0009176371581816056,small_subset,,0.0032962652660671666,0.0032503834081580862,0.00477985804900527
18,0.0007195660759862221,small_subset,,0.0030227246892309267,0.0029867463854316156,0.00419952254742384
19,0.000759882413149171,small_subset,,0.0030405568872538423,0.003002562766596384,0.005648978520184755
20,0.0007428175565564743,small_subset,,0.0026271250963304737,0.00258998421850265,0.0038471827283501625
21,0.000640125266954783,small_subset,,0.002459255940914318,0.0024272496775665786,0.0039884611032903194
22,0.000715589153514884,small_subset,,0.0024122373331465496,0.0023764578754708054,0.004372641909867525
23,0.0007694572791479004,small_subset,,0.0027456186810695727,0.0027071458171121776,0.00515655567869544
24,0.0008755280575769575,small_subset,,0.003172927426919614,0.003129151024040766,0.004556405358016491
25,0.0010761170615296578,small_subset,,0.0033935123238734376,0.003339706470796955,0.005307069979608059
