background_energy_increase_db,class_group,hit_count,input_type,mask_name,mse_db_to_clean,mse_power_to_clean,noise_floor_change_db,pd,protocol,sir_name,split_definition,target_count,target_peak_abs_bias_db_mean,target_peak_bias_db_mean,target_pfa,target_scope,target_sir_db,threshold_source
0.0,motorbike_like,0,clean,default,0.0,0.0,0.0,,D2A_fixed_pfa,,cfar_margin,0,0.0,0.0,0.001,non_overlap_only,,input_specific_validation_background
0.0,pedestrian_like,14,clean,default,0.0,0.0,0.0,0.7368421052631579,D2A_fixed_pfa,,cfar_margin,19,0.0,0.0,0.001,non_overlap_only,,input_specific_validation_background
0.0,vehicle_like,9,clean,default,0.0,0.0,0.0,0.8181818181818182,D2A_fixed_pfa,,cfar_margin,11,0.0,0.0,0.001,non_overlap_only,,input_specific_validation_background
0.03294304413121694,cyclist_like,9,model_clean,narrow,0.028745329163134218,4112942808.51168,0.014094040191309887,0.125,D2A_fixed_pfa,,clean_peak_percentile,72,0.02571880171174905,-0.00022371172968082265,0.01,all,,input_specific_validation_background
0.03294304413121694,motorbike_like,0,model_clean,narrow,0.028745329163134218,4112942808.51168,0.014094040191309887,,D2A_fixed_pfa,,clean_peak_percentile,0,0.02571880171174905,-0.00022371172968082265,0.01,all,,input_specific_validation_background
0.03294304413121694,pedestrian_like,63,model_clean,narrow,0.028745329163134218,4112942808.51168,0.014094040191309887,0.984375,D2A_fixed_pfa,,clean_peak_percentile,64,0.02571880171174905,-0.00022371172968082265,0.01,all,,input_specific_validation_background
0.03294304413121694,vehicle_like,22,model_clean,narrow,0.028745329163134218,4112942808.51168,0.014094040191309887,1.0,D2A_fixed_pfa,,clean_peak_percentile,22,0.02571880171174905,-0.00022371172968082265,0.01,all,,input_specific_validation_background
0.03294304413121694,cyclist_like,5,model_clean,narrow,0.028745329163134218,4112942808.51168,0.014094040191309887,0.08771929824561403,D2A_fixed_pfa,,clean_peak_percentile,57,0.02571880171174905,-0.00022371172968082265,0.01,non_overlap_only,,input_specific_validation_background
0.03294304413121694,motorbike_like,0,model_clean,narrow,0.028745329163134218,4112942808.51168,0.014094040191309887,,D2A_fixed_pfa,,clean_peak_percentile,0,0.02571880171174905,-0.00022371172968082265,0.01,non_overlap_only,,input_specific_validation_background
0.03294304413121694,pedestrian_like,48,model_clean,narrow,0.028745329163134218,4112942808.51168,0.014094040191309887,0.9795918367346939,D2A_fixed_pfa,,clean_peak_percentile,49,0.02571880171174905,-0.00022371172968082265,0.01,non_overlap_only,,input_specific_validation_background
0.03294304413121694,vehicle_like,13,model_clean,narrow,0.028745329163134218,4112942808.51168,0.014094040191309887,1.0,D2A_fixed_pfa,,clean_peak_percentile,13,0.02571880171174905,-0.00022371172968082265,0.01,non_overlap_only,,input_specific_validation_background
0.03294304413121694,cyclist_like,5,model_clean,narrow,0.028745329163134218,4112942808.51168,0.014094040191309887,0.06944444444444445,D2A_fixed_pfa,,clean_peak_percentile,72,0.02571880171174905,-0.00022371172968082265,0.001,all,,input_specific_validation_background
0.03294304413121694,motorbike_like,0,model_clean,narrow,0.028745329163134218,4112942808.51168,0.014094040191309887,,D2A_fixed_pfa,,clean_peak_percentile,0,0.02571880171174905,-0.00022371172968082265,0.001,all,,input_specific_validation_background
0.03294304413121694,pedestrian_like,59,model_clean,narrow,0.028745329163134218,4112942808.51168,0.014094040191309887,0.921875,D2A_fixed_pfa,,clean_peak_percentile,64,0.02571880171174905,-0.00022371172968082265,0.001,all,,input_specific_validation_background
0.03294304413121694,vehicle_like,19,model_clean,narrow,0.028745329163134218,4112942808.51168,0.014094040191309887,0.8636363636363636,D2A_fixed_pfa,,clean_peak_percentile,22,0.02571880171174905,-0.00022371172968082265,0.001,all,,input_specific_validation_background
0.03294304413121694,cyclist_like,2,model_clean,narrow,0.028745329163134218,4112942808.51168,0.014094040191309887,0.03508771929824561,D2A_fixed_pfa,,clean_peak_percentile,57,0.02571880171174905,-0.00022371172968082265,0.001,non_overlap_only,,input_specific_validation_background
0.03294304413121694,motorbike_like,0,model_clean,narrow,0.028745329163134218,4112942808.51168,0.014094040191309887,,D2A_fixed_pfa,,clean_peak_percentile,0,0.02571880171174905,-0.00022371172968082265,0.001,non_overlap_only,,input_specific_validation_background
0.03294304413121694,pedestrian_like,44,model_clean,narrow,0.028745329163134218,4112942808.51168,0.014094040191309887,0.8979591836734694,D2A_fixed_pfa,,clean_peak_percentile,49,0.02571880171174905,-0.00022371172968082265,0.001,non_overlap_only,,input_specific_validation_background
0.03294304413121694,vehicle_like,11,model_clean,narrow,0.028745329163134218,4112942808.51168,0.014094040191309887,0.8461538461538461,D2A_fixed_pfa,,clean_peak_percentile,13,0.02571880171174905,-0.00022371172968082265,0.001,non_overlap_only,,input_specific_validation_background
0.03294304413121694,cyclist_like,9,model_clean,narrow,0.028745329163134218,4112942808.51168,0.014094040191309887,0.125,D2A_fixed_pfa,,cfar_margin,72,0.02571880171174905,-0.00022371172968082265,0.01,all,,input_specific_validation_background
0.03294304413121694,motorbike_like,0,model_clean,narrow,0.028745329163134218,4112942808.51168,0.014094040191309887,,D2A_fixed_pfa,,cfar_margin,0,0.02571880171174905,-0.00022371172968082265,0.01,all,,input_specific_validation_background
0.03294304413121694,pedestrian_like,63,model_clean,narrow,0.028745329163134218,4112942808.51168,0.014094040191309887,0.984375,D2A_fixed_pfa,,cfar_margin,64,0.02571880171174905,-0.00022371172968082265,0.01,all,,input_specific_validation_background
0.03294304413121694,vehicle_like,22,model_clean,narrow,0.028745329163134218,4112942808.51168,0.014094040191309887,1.0,D2A_fixed_pfa,,cfar_margin,22,0.02571880171174905,-0.00022371172968082265,0.01,all,,input_specific_validation_background
