background_cell_count,background_energy_increase_db,bootstrap_pfa_ci_high,bootstrap_pfa_ci_low,bootstrap_pfa_std,f1,false_alarm_count,fn_cells,fp_cells,frame_level_pfa_mean,frame_level_pfa_std,input_type,mask_name,measured_pfa,mid_hits,mid_miss_rate,mid_n,mid_pd,mse_db_to_clean,mse_power_to_clean,noise_floor_change_db,overall_hits,overall_miss_rate,overall_n,overall_pd,precision,recall,sir_name,split_definition,strong_hits,strong_miss_rate,strong_n,strong_pd,target_peak_abs_bias_db_mean,target_peak_bias_db_mean,target_pfa,target_scope,target_sir_db,threshold,threshold_source,tp_cells,weak_hits,weak_miss_rate,weak_n,weak_pd
6046,0.03294304413121694,0.014590497039774067,0.01079406221153796,0.0010313987971863256,0.2505947660586836,78,867,78,0.012623056645914479,0.008375865881953158,model_clean,narrow,0.012901091630830301,43,0.36764705882352944,68,0.6323529411764706,0.028745329163134218,4112942808.51168,0.014094040191309887,94,0.40506329113924056,158,0.5949367088607594,0.6694915254237288,0.15414634146341463,,clean_peak_percentile,28,0.0,28,1.0,0.02571880171174905,-0.00022371172968082265,0.01,all,,3.587269407975081,input_specific_validation_background,158,23,0.6290322580645161,62,0.3709677419354839
6046,0.03294304413121694,0.014590497039774067,0.01079406221153796,0.0010313987971863256,0.2505947660586836,78,867,78,0.012623056645914479,0.008375865881953158,model_clean,narrow,0.012901091630830301,35,0.2857142857142857,49,0.7142857142857143,0.028745329163134218,4112942808.51168,0.014094040191309887,66,0.4453781512605042,119,0.5546218487394958,0.6694915254237288,0.15414634146341463,,clean_peak_percentile,8,0.0,8,1.0,0.02571880171174905,-0.00022371172968082265,0.01,non_overlap_only,,3.587269407975081,input_specific_validation_background,158,23,0.6290322580645161,62,0.3709677419354839
6046,0.03294304413121694,0.003737552242907278,0.0016788584168845092,0.0005696031739036964,0.21134020618556704,16,902,16,0.002628451517057354,0.0045746615248416075,model_clean,narrow,0.0026463777704267286,40,0.4117647058823529,68,0.5882352941176471,0.028745329163134218,4112942808.51168,0.014094040191309887,83,0.47468354430379744,158,0.5253164556962026,0.8848920863309353,0.12,,clean_peak_percentile,28,0.0,28,1.0,0.02571880171174905,-0.00022371172968082265,0.001,all,,5.385681289936587,input_specific_validation_background,123,15,0.7580645161290323,62,0.24193548387096775
6046,0.03294304413121694,0.003737552242907278,0.0016788584168845092,0.0005696031739036964,0.21134020618556704,16,902,16,0.002628451517057354,0.0045746615248416075,model_clean,narrow,0.0026463777704267286,34,0.30612244897959184,49,0.6938775510204082,0.028745329163134218,4112942808.51168,0.014094040191309887,57,0.5210084033613445,119,0.4789915966386555,0.8848920863309353,0.12,,clean_peak_percentile,8,0.0,8,1.0,0.02571880171174905,-0.00022371172968082265,0.001,non_overlap_only,,5.385681289936587,input_specific_validation_background,123,15,0.7580645161290323,62,0.24193548387096775
6046,0.03294304413121694,0.014590497039774067,0.01079406221153796,0.0010313987971863256,0.2505947660586836,78,867,78,0.012623056645914479,0.008375865881953158,model_clean,narrow,0.012901091630830301,65,0.0,65,1.0,0.028745329163134218,4112942808.51168,0.014094040191309887,94,0.40506329113924056,158,0.5949367088607594,0.6694915254237288,0.15414634146341463,,cfar_margin,29,0.0,29,1.0,0.02571880171174905,-0.00022371172968082265,0.01,all,,3.587269407975081,input_specific_validation_background,158,0,1.0,64,0.0
6046,0.03294304413121694,0.014590497039774067,0.01079406221153796,0.0010313987971863256,0.2505947660586836,78,867,78,0.012623056645914479,0.008375865881953158,model_clean,narrow,0.012901091630830301,52,0.0,52,1.0,0.028745329163134218,4112942808.51168,0.014094040191309887,66,0.4453781512605042,119,0.5546218487394958,0.6694915254237288,0.15414634146341463,,cfar_margin,14,0.0,14,1.0,0.02571880171174905,-0.00022371172968082265,0.01,non_overlap_only,,3.587269407975081,input_specific_validation_background,158,0,1.0,53,0.0
6046,0.03294304413121694,0.003737552242907278,0.0016788584168845092,0.0005696031739036964,0.21134020618556704,16,902,16,0.002628451517057354,0.0045746615248416075,model_clean,narrow,0.0026463777704267286,54,0.16923076923076918,65,0.8307692307692308,0.028745329163134218,4112942808.51168,0.014094040191309887,83,0.47468354430379744,158,0.5253164556962026,0.8848920863309353,0.12,,cfar_margin,29,0.0,29,1.0,0.02571880171174905,-0.00022371172968082265,0.001,all,,5.385681289936587,input_specific_validation_background,123,0,1.0,64,0.0
6046,0.03294304413121694,0.003737552242907278,0.0016788584168845092,0.0005696031739036964,0.21134020618556704,16,902,16,0.002628451517057354,0.0045746615248416075,model_clean,narrow,0.0026463777704267286,43,0.17307692307692313,52,0.8269230769230769,0.028745329163134218,4112942808.51168,0.014094040191309887,57,0.5210084033613445,119,0.4789915966386555,0.8848920863309353,0.12,,cfar_margin,14,0.0,14,1.0,0.02571880171174905,-0.00022371172968082265,0.001,non_overlap_only,,5.385681289936587,input_specific_validation_background,123,0,1.0,53,0.0
5675,0.03050683715593981,0.015332513414033883,0.011292866085464079,0.0010799520435107186,0.18350754936120792,77,1329,77,0.013173681752425967,0.009061995983586693,model_clean,default,0.013568281938325991,47,0.04081632653061229,49,0.9591836734693877,0.028745329163134218,4112942808.51168,0.004710626355446834,124,0.21518987341772156,158,0.7848101265822784,0.6723404255319149,0.1062542030934768,,clean_peak_percentile,41,0.0,41,1.0,0.025922684016009567,0.0005531462193180632,0.01,all,,3.6124369624865236,input_specific_validation_background,158,36,0.47058823529411764,68,0.5294117647058824
5675,0.03050683715593981,0.015332513414033883,0.011292866085464079,0.0010799520435107186,0.18350754936120792,77,1329,77,0.013173681752425967,0.009061995983586693,model_clean,default,0.013568281938325991,6,0.0,6,1.0,0.028745329163134218,4112942808.51168,0.004710626355446834,33,0.42105263157894735,57,0.5789473684210527,0.6723404255319149,0.1062542030934768,,clean_peak_percentile,0,,0,,0.025922684016009567,0.0005531462193180632,0.01,non_overlap_only,,3.6124369624865236,input_specific_validation_background,158,27,0.47058823529411764,51,0.5294117647058824
