background_cell_count,cell_f1,cell_precision,cell_recall,false_alarm_count,fn_cells,fp_cells,measured_test_pfa,mid_hits,mid_miss_rate,mid_n,mid_pd,overall_miss_rate,overall_pd,overall_target_hits,overall_target_n,representation,split_definition,strong_hits,strong_miss_rate,strong_n,strong_pd,target_pfa,threshold,tp_cells,weak_hits,weak_miss_rate,weak_n,weak_pd
39585,0.14892902705969246,0.8411073189230186,0.08169730008471766,419,24931,419,0.010584817481369205,918,0.06230847803881512,979,0.9376915219611849,0.20317062995410928,0.7968293700458907,1910,2397,range_only,clean_peak_percentile,675,0.0,675,1.0,0.01,3.7472010503199518,2218,317,0.5733512786002692,743,0.4266487213997308
39585,0.14892902705969246,0.8411073189230186,0.08169730008471766,419,24931,419,0.010584817481369205,982,0.0,982,1.0,0.20317062995410928,0.7968293700458907,1910,2397,range_only,cfar_margin,683,0.0,683,1.0,0.01,3.7472010503199518,2218,245,0.6653005464480874,732,0.33469945355191255
39585,0.10368872463565999,0.9699934768427919,0.054771814799808465,46,25662,46,0.0011620563344701277,655,0.330949948927477,979,0.669050051072523,0.3646224447225699,0.6353775552774301,1523,2397,range_only,clean_peak_percentile,673,0.002962962962962945,675,0.997037037037037,0.001,5.82605802809213,1487,195,0.737550471063257,743,0.26244952893674295
39585,0.10368872463565999,0.9699934768427919,0.054771814799808465,46,25662,46,0.0011620563344701277,840,0.14460285132382888,982,0.8553971486761711,0.3646224447225699,0.6353775552774301,1523,2397,range_only,cfar_margin,683,0.0,683,1.0,0.001,5.82605802809213,1487,0,1.0,732,0.0
