group,q30,q70,split_definition,target_count,value_max,value_mean,value_min,value_std
weak,57.24307584591206,64.61757417309965,clean_peak_percentile,1851,57.24289658602443,52.64655877521958,43.47172068337364,3.083093718722505
mid,57.24307584591206,64.61757417309965,clean_peak_percentile,2466,64.61643925516104,60.51807474503246,57.24468918490074,2.9378609323029297
strong,57.24307584591206,64.61757417309965,clean_peak_percentile,1851,83.39709671030035,67.114407696262,64.61770027509283,2.3220198437217894
weak,7.092370306055492,14.286032297783983,cfar_margin,1852,7.092370306055492,4.1946576716591,-4.954347505044611,2.2095199272015424
mid,7.092370306055492,14.286032297783983,cfar_margin,2465,14.285662726058385,10.319207243499129,7.0925214549494795,2.294611560688595
strong,7.092370306055492,14.286032297783983,cfar_margin,1851,25.382866664633767,16.28137200678908,14.28607336130905,1.4186699806947398
