projection_hit_count,projection_hit_rate,source_sequence,target_background_ratio_db_mean,target_background_ratio_db_std,target_count,valid_projection_count
658,0.9835575485799701,2019_04_30_mlms000,9.033889293799458,4.682308206001367,669,669
717,0.9676113360323887,2019_04_30_mlms001,8.545126983838522,4.576928747131221,741,741
1482,0.9986522911051213,2019_05_09_bm1s007,10.842896089103892,4.660750375012696,1484,1484
1378,1.0,2019_05_09_cm1s003,15.763463822388054,3.34703284526115,1378,1378
1858,0.979957805907173,2019_05_09_mlms003,13.20371041190751,5.078436723237225,1896,1896
