class_id,projection_hit_count,projection_hit_rate,target_background_ratio_db_mean,target_background_ratio_db_std,target_count,valid_projection_count
0,1384,0.9617790132036136,9.708997360190278,4.951505522388594,1439,1439
1,77,1.0,9.45562199237497,4.687237810612154,77,77
2,3130,0.9993614303959132,13.119628841163388,4.4795146884201715,3132,3132
80,1502,0.9881578947368421,12.784703481436392,5.905595243319466,1520,1520
