actual_train_samples,alpha,background_det_term,baseline,capacity,det_term,detection_term,epoch,family,gamma,grad_norm_before_clip,lambda_rec,lr,magmse_term,pos_weight,requested_train_samples,split_definition_train,stage,step,target_det_term,temperature,train_loss,train_unique_frames,train_uses_repeated_frames,val_background_det_term,val_det_term,val_detection_term,val_loss,val_magmse_term,val_target_det_term,weak_weight
600,,0.04886424541473389,scale_s600_current_simple_fcn_h128_balanced_mild,current_simple_fcn_h128,1.3047435283660889,,,balanced,,1.2829281091690063,0.5,0.0003,2.870868682861328,1.185188030373864,600,,tiny_batch,1,3.107433319091797,1.0,2.740177869796753,300,True,,,,,,,
600,,0.11337675154209137,scale_s600_current_simple_fcn_h128_balanced_mild,current_simple_fcn_h128,1.6826952695846558,,,balanced,,2.027409315109253,0.5,0.0003,4.081101417541504,1.185188030373864,600,,tiny_batch,10,3.2066702842712402,1.0,3.7232460975646973,300,True,,,,,,,
600,,0.1185615137219429,scale_s600_current_simple_fcn_h128_balanced_mild,current_simple_fcn_h128,1.504386067390442,,,balanced,,3.6159722805023193,0.5,0.0003,4.101874828338623,1.185188030373864,600,,tiny_batch,20,3.128746747970581,1.0,3.555323600769043,300,True,,,,,,,
600,,0.06044385954737663,scale_s600_current_simple_fcn_h128_balanced_mild,current_simple_fcn_h128,1.2356122732162476,,,balanced,,1.3984429836273193,0.5,0.0003,0.7470318078994751,1.185188030373864,600,,tiny_batch,30,3.0295279026031494,1.0,1.6091282367706299,300,True,,,,,,,
600,,0.08911745250225067,scale_s600_current_simple_fcn_h128_balanced_mild,current_simple_fcn_h128,1.5848287343978882,,,balanced,,4.333654403686523,0.5,0.0003,2.3746068477630615,1.185188030373864,600,,tiny_batch,40,3.1670420169830322,1.0,2.772132158279419,300,True,,,,,,,
600,,0.052604589611291885,scale_s600_current_simple_fcn_h128_balanced_mild,current_simple_fcn_h128,1.7082263231277466,,,balanced,,4.27396821975708,0.5,0.0003,1.204247236251831,1.185188030373864,600,,tiny_batch,50,3.1904120445251465,1.0,2.310349941253662,300,True,,,,,,,
600,,0.04009493440389633,scale_s600_current_simple_fcn_h128_balanced_mild,current_simple_fcn_h128,1.2512195110321045,,,balanced,,1.998380422592163,0.5,0.0003,0.9943752288818359,1.185188030373864,600,,tiny_batch,60,3.0947532653808594,1.0,1.7484071254730225,300,True,,,,,,,
600,,0.04450954869389534,scale_s600_current_simple_fcn_h128_balanced_mild,current_simple_fcn_h128,1.1204776763916016,,,balanced,,1.6455342769622803,0.5,0.0003,0.8412665724754333,1.185188030373864,600,,tiny_batch,70,3.042606830596924,1.0,1.5411109924316406,300,True,,,,,,,
600,,0.05070222169160843,scale_s600_current_simple_fcn_h128_balanced_mild,current_simple_fcn_h128,1.3341678380966187,,,balanced,,2.770404815673828,0.5,0.0003,0.9746592044830322,1.185188030373864,600,,tiny_batch,80,3.093094825744629,1.0,1.8214974403381348,300,True,,,,,,,
600,,0.03669779747724533,scale_s600_current_simple_fcn_h128_balanced_mild,current_simple_fcn_h128,1.0224905014038086,,,balanced,,2.000183343887329,0.5,0.0003,0.5319119691848755,1.185188030373864,600,,tiny_batch,90,2.9914238452911377,1.0,1.2884464263916016,300,True,,,,,,,
600,,0.0470566600561142,scale_s600_current_simple_fcn_h128_balanced_mild,current_simple_fcn_h128,1.533153772354126,,,balanced,,2.6234278678894043,0.5,0.0003,0.7410231828689575,1.185188030373864,600,,tiny_batch,100,3.1452996730804443,1.0,1.90366530418396,300,True,,,,,,,
600,,0.04694931209087372,scale_s600_current_simple_fcn_h128_balanced_mild,current_simple_fcn_h128,1.6721978187561035,,,balanced,,2.5208046436309814,0.5,0.0003,1.087859869003296,1.185188030373864,600,,tiny_batch,110,3.1780645847320557,1.0,2.216127872467041,300,True,,,,,,,
600,,0.04319896921515465,scale_s600_current_simple_fcn_h128_balanced_mild,current_simple_fcn_h128,0.9382568597793579,,,balanced,,3.200641393661499,0.5,0.0003,0.6379561424255371,1.185188030373864,600,,tiny_batch,120,2.8653271198272705,1.0,1.2572349309921265,300,True,,,,,,,
600,,0.04986924300591151,scale_s600_current_simple_fcn_h128_balanced_mild,current_simple_fcn_h128,1.465465598901113,,1,balanced,,2.4243721004327137,0.5,0.0003,0.664911540945371,1.185188030373864,600,,small_subset,,3.145661204655965,1.0,1.797921366294225,300,True,0.05604054406285286,0.7572035789489746,,1.0039324760437012,0.4934578835964203,3.0251035690307617,
600,,0.0475839938223362,scale_s600_current_simple_fcn_h128_balanced_mild,current_simple_fcn_h128,1.4637774940331776,,2,balanced,,2.0437276220321654,0.5,0.0003,0.46501758312185604,1.185188030373864,600,,small_subset,,3.146278265317281,1.0,1.6962862877051035,300,True,0.054444700479507446,0.7557697892189026,,0.9185223579406738,0.3255051374435425,3.02419376373291,
