actual_train_samples,alpha,baseline,capacity,family,final_train_background_det,final_train_det,final_train_detection,final_train_loss,final_train_magmse,final_train_target_det,final_val_background_det,final_val_det,final_val_detection,final_val_loss,final_val_magmse,final_val_target_det,gamma,has_nan_or_inf,initial_train_loss,initial_val_loss,inverse_frequency_ratio,lambda_rec,lr,method,output_max_db,output_min_db,output_std_db,pos_weight,requested_train_samples,split_definition_train,status,stopped_reason,temperature,tiny_final_loss,tiny_initial_loss,tiny_loss_drop_fraction,train_background_cells,train_loss_drop_fraction,train_target_cells,train_unique_frames,train_uses_repeated_frames,val_loss_drop_fraction,val_output_mse_db,weak_weight
600,,scale_s600_current_simple_fcn_h128_balanced_mild,current_simple_fcn_h128,balanced,0.046536508947610855,1.4678211212158203,,1.5489587783813477,0.16227541863918304,3.152310848236084,0.054373934864997864,0.7553108334541321,,0.8298189043998718,0.1490161269903183,3.022479295730591,,False,1.9208271503448486,1.140157699584961,1.4046706673414793,0.5,0.0003,balanced_mild,73.61642372304573,39.56701061258451,3.774671872526575,1.185188030373864,600,,DONE,,1.0,1.748703956604004,3.4542911052703857,0.4937589498650191,38856,0.19359804024882662,27662,300,True,0.27218936055780557,0.14901610549252278,
600,,scale_s600_current_simple_fcn_h128_weak_peak_w2p0,current_simple_fcn_h128,,0.04763016849756241,,1.551411747932434,1.6356561183929443,0.16848862171173096,3.1549007892608643,0.05535200238227844,,0.9755221009254456,1.0510388612747192,0.15103350579738617,3.0217490196228027,,False,2.0209808349609375,1.3770167827606201,,0.5,0.0003,weak_peak_w2p0,73.71352954988015,39.59486347183969,3.755870108302171,,600,clean_peak_percentile,DONE,,1.0,1.8618597984313965,3.551814079284668,0.4758003215060251,,0.19066223187388162,,300,True,0.23672763147620163,0.15103350207495306,2.0
1000,,scale_s1000_current_simple_fcn_h128_balanced_mild,current_simple_fcn_h128,balanced,0.0457889549434185,1.4643752574920654,,1.5208711624145508,0.11299172043800354,3.149617910385132,0.053250834345817566,0.7552862167358398,,0.8040841221809387,0.09759582579135895,3.020683765411377,,False,1.9152402877807617,1.1337573528289795,1.4112804878048781,0.5,0.0003,balanced_mild,73.50756730603189,39.522301112874175,3.760190329770251,1.1879732689774118,1000,,DONE,,1.0,1.746399164199829,3.4560556411743164,0.4946843032867293,64806,0.20591104305934196,45920,300,True,0.29077935399971777,0.09759581581052623,
1000,,scale_s1000_current_simple_fcn_h128_weak_peak_w2p0,current_simple_fcn_h128,,0.04645998030900955,,1.5513014793395996,1.6034401655197144,0.10427731275558472,3.152376651763916,0.05381324514746666,,0.973817765712738,1.0196138620376587,0.09159215539693832,3.020000696182251,,False,2.0103139877319336,1.3605079650878906,,0.5,0.0003,weak_peak_w2p0,73.81711743631104,39.66777777935829,3.7687361012917044,,1000,clean_peak_percentile,DONE,,1.0,1.8555798530578613,3.551814079284668,0.47756841669157035,,0.202393170765956,,300,True,0.25056384218096783,0.09159216433614911,2.0
1500,,scale_s1500_current_simple_fcn_h128_balanced_mild,current_simple_fcn_h128,balanced,0.04594876244664192,1.4590320587158203,,1.496617317199707,0.07517052441835403,3.1484389305114746,0.05378774553537369,0.759168267250061,,0.7889955043792725,0.059654414653778076,3.0209414958953857,,False,1.8700766563415527,1.1189444065093994,1.4293313069908815,0.5,0.0003,balanced_mild,73.7022443271137,39.53396481703686,3.77391227564214,1.1955464470236534,1500,,DONE,,1.0,1.7395175695419312,3.4608359336853027,0.49737069226232,97812,0.19970269019476852,68432,300,True,0.29487515216186505,0.05965442227127722,
1500,,scale_s1500_current_simple_fcn_h128_weak_peak_w2p0,current_simple_fcn_h128,,0.04585184156894684,,1.5341330766677856,1.5742229223251343,0.08017971366643906,3.1483073234558105,0.053652554750442505,,0.9730936288833618,1.006716012954712,0.06724470108747482,3.018293619155884,,False,1.9939086437225342,1.368811011314392,,0.5,0.0003,weak_peak_w2p0,73.63260080621058,39.60360655956538,3.7962725707527247,,1500,clean_peak_percentile,DONE,,1.0,1.8654705286026,3.551814079284668,0.4747837339001978,,0.2104839269936993,,300,True,0.2645324996414083,0.06724470191508472,2.0
600,,capacity_current_simple_fcn_h128_s600_balanced_mild,current_simple_fcn_h128,balanced,0.04675851762294769,1.4681651592254639,,1.55426824092865,0.1722060739994049,3.1527998447418213,0.054150693118572235,0.7550692558288574,,0.8335384130477905,0.1569383144378662,3.0221786499023438,,False,1.9561166763305664,1.1523804664611816,1.4046706673414793,0.5,0.0003,balanced_mild,73.38802054544567,39.49311016122482,3.790570855573447,1.185188030373864,600,,DONE,,1.0,1.7844805717468262,3.4542911052703857,0.48340179870070754,38856,0.20543173127879805,27662,300,True,0.27668123739767625,0.15693830780711,
600,,capacity_current_simple_fcn_h128_s600_weak_peak_w2p0,current_simple_fcn_h128,,0.04624033719301224,,1.5510077476501465,1.6340253353118896,0.1660352498292923,3.155060291290283,0.05344576761126518,,0.9744678735733032,1.0478417873382568,0.14674793183803558,3.0226850509643555,,False,2.0522866249084473,1.3937164545059204,,0.5,0.0003,weak_peak_w2p0,73.97148151480542,39.594975030439116,3.7809301285361108,,600,clean_peak_percentile,DONE,,1.0,1.8835445642471313,3.551814079284668,0.46969505660992383,,0.20380257051824635,,300,True,0.2481671691895737,0.14674793317202975,2.0
600,,capacity_wider_fcn_h256_s600_balanced_mild,wider_fcn_h256,balanced,0.04598692059516907,1.4665740728378296,,1.5164132118225098,0.09967838227748871,3.1502370834350586,0.05372735857963562,0.7545121312141418,,0.7989252805709839,0.0888262540102005,3.021188497543335,,False,1.8393030166625977,1.0593587160110474,1.4046706673414793,0.5,0.0003,balanced_mild,73.84933908995458,39.56865906891011,3.7719348506678054,1.185188030373864,600,,DONE,,1.0,1.623178482055664,3.4542911052703857,0.5300979469914684,38856,0.17555008713353235,27662,300,True,0.24584065010642495,0.08882625762387827,
600,,capacity_wider_fcn_h256_s600_weak_peak_w2p0,wider_fcn_h256,,0.046106066554784775,,1.5488648414611816,1.5990628004074097,0.10039593279361725,3.1514101028442383,0.053885381668806076,,0.9737681746482849,1.0232526063919067,0.09896891564130783,3.0195724964141846,,False,1.9023890495300293,1.2762285470962524,,0.5,0.0003,weak_peak_w2p0,73.44145474098468,39.64250196077967,3.763229733693547,,600,clean_peak_percentile,DONE,,1.0,1.7285964488983154,3.551814079284668,0.5133201202788032,,0.15944490912495216,,300,True,0.1982215029431295,0.09896892405358382,2.0
600,,capacity_shallow_unet1d_c16_s600_balanced_mild,shallow_unet1d_c16,balanced,0.048106711357831955,1.475778341293335,,1.6279090642929077,0.3042614758014679,3.1678385734558105,0.056510087102651596,0.7566413879394531,,0.8855921030044556,0.2579014301300049,3.0212039947509766,,False,2.633021354675293,1.6079673767089844,1.4046706673414793,0.5,0.0003,balanced_mild,73.47377350459783,39.644086330250275,3.8071932684874326,1.185188030373864,600,,DONE,,1.0,2.4691896438598633,3.4542911052703857,0.28518194656712736,38856,0.38173343660797493,27662,300,True,0.4492474686787547,0.2579014188136006,
600,,capacity_shallow_unet1d_c16_s600_weak_peak_w2p0,shallow_unet1d_c16,,0.04787189140915871,,1.558364987373352,1.6886175870895386,0.26050516963005066,3.1684954166412354,0.056490376591682434,,0.9763308167457581,1.0853590965270996,0.21805663406848907,3.0200841426849365,,False,2.653801441192627,1.8303134441375732,,0.5,0.0003,weak_peak_w2p0,72.52003292862446,39.57913726970111,3.809295928665451,,600,clean_peak_percentile,DONE,,1.0,2.508004903793335,3.551814079284668,0.2938805782597594,,0.36369859444696495,,300,True,0.4070091655593391,0.21805662619838664,2.0
